Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,S,511.5,242,6751.8,6751.8,1.4,27.9,BUG
2,CRWD,509.1,23,7235.8,13987.6,14.4,314.6,BUG
3,CYBR,272.6,32,8508.8,22496.4,10.4,265.9,BUG
4,NET,239.7,60,5994.0,28490.4,5.6,99.9,BUG
5,ZS,218.0,26,5699.2,34189.6,12.9,219.2,BUG
6,VRNS,188.8,178,9095.8,43285.4,1.9,51.1,BUG
7,FTNT,126.2,147,10348.8,53634.2,2.3,70.4,BUG
8,PANW,126.1,18,5443.2,59077.4,18.5,302.4,BUG
9,OKTA,102.9,75,8137.5,67214.9,4.5,108.5,BUG
10,TENB,89.3,188,9042.8,76257.7,1.8,48.1,BUG
11,RDWR,78.2,680,12172.0,88429.7,0.5,17.9,BUG
12,CHKP,72.8,97,15335.7,103765.4,3.5,158.1,BUG
13,TLS,53.4,1700,6460.0,110225.4,0.2,3.8,BUG
14,ATEN,43.9,1133,15408.8,125634.2,0.3,13.6,BUG
15,GEN,34.8,485,10573.0,136207.2,0.7,21.8,BUG
16,RPD,33.3,147,8614.2,144821.4,2.3,58.6,BUG
17,OSPN,10.5,850,8415.0,153236.4,0.4,9.9,BUG
