Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,CRK,178.1,500,5200.0,5200.0,0.4,10.4,XOP
2,AR,134.5,181,5900.6,11100.6,1.1,32.6,XOP
3,TPL,117.6,6,4405.8,15506.4,29.4,734.3,XOP
4,SBOW,64.9,285,10773.0,26279.4,0.7,37.8,XOP
5,TRGP,63.8,80,10304.0,36583.4,2.5,128.8,XLE
6,WMB,56.7,285,12112.5,48695.9,0.7,42.5,XLE
7,CNX,47.7,333,8091.9,56787.8,0.6,24.3,XOP
8,KMI,46.1,666,13253.4,70041.2,0.3,19.9,XLE
9,EGY,34.8,1000,6300.0,76341.2,0.2,6.3,XOP
10,CRGY,11.0,666,7925.4,84266.6,0.3,11.9,XOP
11,MRO,9.6,333,9557.1,93823.7,0.6,28.7,XOP
12,OKE,9.0,153,12484.8,106308.5,1.3,81.6,XLE
13,VTS,6.8,333,7892.1,114200.6,0.6,23.7,XOP
14,BKR,4.3,250,8800.0,123000.6,0.8,35.2,XLE
15,MGY,3.3,333,8424.9,131425.5,0.6,25.3,XOP
16,FANG,2.4,48,9609.6,141035.1,4.1,200.2,XOP
17,XOM,1.8,90,10359.0,151394.1,2.2,115.1,XOP
18,WKC,0.9,333,8591.4,159985.5,0.6,25.8,XOP
19,EOG,0.2,80,10072.0,170057.5,2.5,125.9,XOP
20,CLNE,0.0,1000,2700.0,172757.5,0.2,2.7,XOP
21,OXY,-0.1,166,10458.0,183215.5,1.2,63.0,XOP
22,STR,-0.5,333,7858.8,191074.3,0.6,23.6,XOP
23,CRC,-12.6,133,7075.6,198149.9,1.5,53.2,XOP
