Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,TER,258.6,65,9516.0,9516.0,4.6,146.4,SOXX
2,NVDA,230.6,52,6130.8,15646.8,5.7,117.9,SOXX
3,TSM,125.8,44,7295.2,22942.0,6.8,165.8,SOXX
4,ACLS,118.2,42,5376.0,28318.0,7.0,128.0,SOXX
5,MPWR,103.2,9,7279.2,35597.2,30.9,808.8,SOXX
6,AVGO,101.2,48,7555.2,43152.4,6.2,157.4,SOXX
7,ADI,91.0,60,13872.0,57024.4,5.0,231.2,SOXX
8,KLAC,83.3,10,7625.0,64649.4,27.7,762.5,SOXX
9,QCOM,82.2,46,8565.2,73214.6,6.5,186.2,SOXX
10,TXN,69.3,76,15131.6,88346.2,3.9,199.1,SOXX
11,NXPI,44.5,38,10233.4,98579.6,7.8,269.3,SOXX
12,ASX,5.6,750,8250.0,106829.6,0.4,11.0,SOXX
13,SWKS,0.2,100,11430.0,118259.6,3.0,114.3,SOXX
14,ON,0.1,125,9062.5,127322.1,2.4,72.5,SOXX
15,QRVO,0.1,83,10109.4,137431.5,3.6,121.8,SOXX
