Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,AVPT,119.4,799,9508.1,9508.1,0.3,11.9,WCLD
2,CWAN,106.2,399,9576.0,19084.1,0.6,24.0,WCLD
3,SMAR,95.6,141,7360.2,26444.3,1.7,52.2,WCLD
4,QTWO,63.8,126,9424.8,35869.1,1.9,74.8,WCLD
5,NOW,48.5,11,9669.0,45538.1,20.2,879.0,WCLD
6,ADBE,48.5,15,8053.5,53591.6,15.2,536.9,WCLD
7,BOX,35.5,299,9956.7,63548.3,0.8,33.3,WCLD
8,MNDY,29.7,29,7415.3,70963.6,8.2,255.7,WCLD
9,SHOP,24.6,109,7891.6,78855.2,2.2,72.4,WCLD
10,S,20.6,239,5425.3,84280.5,1.0,22.7,WCLD
11,OLO,18.7,1199,5755.2,90035.7,0.2,4.8,WCLD
12,IOT,12.6,119,5640.6,95676.3,2.0,47.4,WCLD
13,SQSP,12.3,799,36993.7,132670.0,0.3,46.3,WCLD
14,PYPL,10.4,119,8341.9,141011.9,2.0,70.1,WCLD
15,NET,9.9,95,7467.0,148478.9,2.5,78.6,WCLD
16,WIX,3.1,45,7051.5,155530.4,5.3,156.7,WCLD
17,DBX,2.1,399,9815.4,165345.8,0.6,24.6,WCLD
18,WDAY,0.9,35,8753.5,174099.3,6.7,250.1,WCLD
19,VEEV,0.9,42,9151.8,183251.1,5.7,217.9,WCLD
20,ZM,0.8,126,8517.6,191768.7,1.9,67.6,WCLD
21,YEXT,0.5,1199,7913.4,199682.1,0.2,6.6,WCLD
22,TWLO,0.5,141,8389.5,208071.6,1.7,59.5,WCLD
23,DOCN,-0.0,149,6004.7,214076.3,1.6,40.3,WCLD
24,PAYC,-0.0,58,9825.2,223901.5,4.1,169.4,WCLD
25,PCTY,0.0,52,8294.0,232195.5,4.6,159.5,WCLD
26,DOCU,-0.0,141,7980.6,240176.1,1.7,56.6,WCLD
27,TOST,-0.3,266,6969.2,247145.3,0.9,26.2,WCLD
28,GTLB,-0.5,104,5668.0,252813.3,2.3,54.5,WCLD
29,AMPL,-4.2,799,7031.2,259844.5,0.3,8.8,WCLD
30,MDB,-6.9,20,5802.0,265646.5,11.6,290.1,WCLD
