Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,APP,814.1,21,3433.5,3433.5,5.7,163.5,IGV
2,PLTR,392.2,79,3310.1,6743.6,1.5,41.9,IGV
3,IOT,190.7,74,3418.8,10162.4,1.6,46.2,IGV
4,GWRE,174.1,39,7254.0,17416.4,3.0,186.0,IGV
5,U,134.7,119,2475.2,19891.6,1.0,20.8,IGV
6,SMAR,114.0,599,33663.8,53555.4,0.2,56.2,IGV
7,DT,99.0,119,6437.9,59993.3,1.0,54.1,IGV
8,MSTR,97.7,6,1378.2,61371.5,18.5,229.7,IGV
9,DOCU,96.9,63,4479.3,65850.8,1.9,71.1,IGV
10,AZPN,93.6,28,6543.6,72394.4,4.2,233.7,IGV
11,ZM,93.6,74,5594.4,77988.8,1.6,75.6,IGV
12,S,67.7,119,3094.0,81082.8,1.0,26.0,IGV
13,MANH,57.7,17,4494.8,85577.6,6.8,264.4,IGV
14,DBX,46.9,239,6214.0,91791.6,0.5,26.0,IGV
15,NTNX,40.6,74,4625.0,96416.6,1.6,62.5,IGV
16,DSGX,9.1,59,6271.7,102688.3,2.0,106.3,IGV
17,BILL,9.0,70,4081.0,106769.3,1.7,58.3,IGV
18,GTLB,3.9,57,3243.3,110012.6,2.1,56.9,IGV
19,ALTR,2.7,30,3120.0,113132.6,3.9,104.0,IGV
20,HUBS,2.2,8,4521.6,117654.2,13.7,565.2,IGV
21,PATH,0.6,299,3767.4,121421.6,0.4,12.6,IGV
22,PCOR,-1.8,57,3796.2,125217.8,2.1,66.6,IGV
23,CFLT,-13.0,109,2855.8,128073.6,1.1,26.2,IGV
24,SNAP,-18.7,239,2987.5,131061.1,0.5,12.5,IGV
