Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,UAL,412.5,81,7087.5,7087.5,3.2,87.5,SPX
2,DASH,246.4,66,11312.4,18399.9,3.9,171.4,QQQ
3,AXON,245.3,16,9651.2,28051.1,16.0,603.2,SPX
4,PYPL,168.4,130,10790.0,38841.1,2.0,83.0,QQQ
5,FTNT,154.0,123,11316.0,50157.1,2.1,92.0,QQQ
6,MKTX,152.3,40,10988.0,61145.1,6.4,274.7,SPX
7,FICO,138.2,4,9329.2,70474.3,53.4,2332.3,SPX
8,FI,137.3,65,13695.5,84169.8,4.0,210.7,SPX
9,DAY,135.6,118,9569.8,93739.6,2.2,81.1,SPX
10,CBRE,133.8,76,10343.6,104083.2,3.4,136.1,SPX
11,FFIV,126.2,50,12065.0,116148.2,5.1,241.3,SPX
12,CEG,126.1,26,6224.4,122372.6,9.8,239.4,QQQ
13,VFC,122.8,216,4536.0,126908.6,1.2,21.0,SPX
14,ETR,122.0,68,10132.0,137040.6,3.8,149.0,SPX
15,BXP,121.8,108,8953.2,145993.8,2.4,82.9,SPX
16,K,121.0,866,70146.0,216139.8,0.3,81.0,SPX
17,TRGP,119.7,56,10768.8,226908.6,4.6,192.3,SPX
18,ORCL,118.6,74,14000.8,240909.4,3.5,189.2,SPX
19,NCLH,114.9,260,7098.0,248007.4,1.0,27.3,SPX
20,BX,113.8,59,10472.5,258479.9,4.4,177.5,SPX
21,GILD,109.3,144,13910.4,272390.3,1.8,96.6,QQQ
22,PNR,105.9,118,12307.4,284697.7,2.2,104.3,SPX
23,IRM,105.9,78,9336.6,294034.3,3.3,119.7,SPX
24,ILMN,105.8,54,8159.4,302193.7,4.8,151.1,QQQ
25,RCL,105.8,42,9462.6,311656.3,6.1,225.3,SPX
26,DAL,105.3,136,8296.0,319952.3,1.9,61.0,SPX
27,LYV,104.1,108,13284.0,333236.3,2.4,123.0,SPX
28,SBUX,103.7,136,13273.6,346509.9,1.9,97.6,QQQ
29,NOW,103.7,12,12097.2,358607.1,21.1,1008.1,SPX
30,TTD,101.5,68,8506.8,367113.9,3.8,125.1,QQQ
31,TMUS,101.2,61,14353.3,381467.2,4.2,235.3,QQQ
32,LVS,100.5,216,10886.4,392353.6,1.2,50.4,SPX
33,HWM,100.5,92,10460.4,402814.0,2.8,113.7,SPX
34,EXPE,99.7,53,9582.4,412396.4,4.9,180.8,SPX
35,WELL,99.3,92,12714.4,425110.8,2.8,138.2,SPX
36,BK,94.6,200,15420.0,440530.8,1.3,77.1,SPX
37,GL,94.3,89,9718.8,450249.6,2.9,109.2,SPX
38,BMY,89.1,216,11685.6,461935.2,1.2,54.1,SPX
39,WMB,88.1,260,14638.0,476573.2,1.0,56.3,SPX
40,BLK,87.9,13,13510.9,490084.1,18.7,1039.3,SPX
41,PKG,87.8,65,15639.0,505723.1,4.0,240.6,SPX
42,PODD,87.7,36,9648.0,515371.1,7.1,268.0,SPX
43,RJF,85.4,63,9998.1,525369.2,4.1,158.7,SPX
44,PWR,85.4,32,10592.0,535961.2,8.1,331.0,SPX
45,HUBB,82.7,22,10293.8,546255.0,11.5,467.9,SPX
46,AMP,82.1,22,12144.0,558399.0,11.8,552.0,SPX
47,PH,81.0,19,13216.4,571615.4,13.2,695.6,SPX
48,VTR,80.4,185,12062.0,583677.4,1.4,65.2,SPX
49,APD,79.4,45,14085.0,597762.4,5.7,313.0,SPX
50,CSCO,78.2,288,16732.8,614495.2,0.9,58.1,QQQ
