Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,GTLS,570.0,35,7497.0,7497.0,8.4,214.2,SP400
2,KD,421.4,250,9575.0,17072.0,1.2,38.3,SP400
3,ALTM,315.0,3000,17100.0,34172.0,0.1,5.7,SP400
4,GME,256.5,157,4317.5,38489.5,1.9,27.5,SP400
5,LITE,254.2,75,7080.0,45569.5,4.0,94.4,SP400
6,RMBS,222.8,136,8418.4,53987.9,2.2,61.9,SP400
7,VST,216.4,34,5810.6,59798.5,8.7,170.9,SP400
8,NARI,214.4,103,8198.8,67997.3,2.9,79.6,SP400
9,CIEN,200.7,115,9752.0,77749.3,2.6,84.8,SP400
10,IBKR,186.4,58,11025.8,88775.1,5.1,190.1,SP400
11,DECK,182.3,50,10495.0,99270.1,6.0,209.9,SP400
12,MASI,180.3,57,9821.1,109091.2,5.2,172.3,SP400
13,DTM,155.6,107,12037.5,121128.7,2.8,112.5,SP400
14,GDDY,151.7,62,12455.8,133584.5,4.8,200.9,SP400
15,FHN,150.5,500,10800.0,144384.5,0.6,21.6,SP400
16,DOCS,147.2,130,6981.0,151365.5,2.3,53.7,SP400
17,WH,145.0,142,14654.4,166019.9,2.1,103.2,SP400
18,EXEL,137.1,300,10860.0,176879.9,1.0,36.2,SP400
19,MTSI,136.7,62,9014.8,185894.7,4.8,145.4,SP400
20,PEN,129.5,33,8702.1,194596.8,9.0,263.7,SP400
21,SLM,129.0,375,10500.0,205096.8,0.8,28.0,SP400
22,UNM,124.9,230,17250.0,222346.8,1.3,75.0,SP400
23,JEF,123.4,111,8413.8,230760.6,2.7,75.8,SP400
24,WSM,118.0,49,9937.2,240697.8,6.1,202.8,SP400
25,AR,117.9,230,9315.0,250012.8,1.3,40.5,SP400
26,PLNT,107.3,111,11599.5,261612.3,2.7,104.5,SP400
27,RH,107.0,20,8944.0,270556.3,14.9,447.2,SP400
28,SFM,106.0,75,10440.0,280996.3,4.0,139.2,SP400
29,BRBR,104.6,187,13538.8,294535.1,1.6,72.4,SP400
30,IART,103.1,333,8025.3,302560.4,0.9,24.1,SP400
31,PSTG,98.7,130,8619.0,311179.4,2.3,66.3,SP400
32,XPO,98.6,56,7705.6,318885.0,5.3,137.6,SP400
33,GMED,94.9,150,13620.0,332505.0,2.0,90.8,SP400
34,DBX,94.9,500,15300.0,347805.0,0.6,30.6,SP400
35,HQY,94.7,103,10547.2,358352.2,2.9,102.4,SP400
36,EXLS,90.8,300,14160.0,372512.2,1.0,47.2,SP400
37,TGNA,88.9,600,10800.0,383312.2,0.5,18.0,SP400
38,SEIC,87.4,176,14696.0,398008.2,1.7,83.5,SP400
39,RRC,86.7,272,11179.2,409187.4,1.1,41.1,SP400
40,MDU,84.4,750,13800.0,422987.4,0.4,18.4,SP400
41,CFR,80.7,85,12172.0,435159.4,3.5,143.2,SP400
42,PCTY,80.6,56,11032.0,446191.4,5.3,197.0,SP400
43,CNM,78.1,200,11040.0,457231.4,1.5,55.2,SP400
44,WBS,75.5,176,10507.2,467738.6,1.7,59.7,SP400
45,WTFC,75.4,81,10943.1,478681.7,3.7,135.1,SP400
46,FLS,69.9,214,13589.0,492270.7,1.4,63.5,SP400
47,PNFP,69.8,81,9711.9,501982.6,3.7,119.9,SP400
48,LAD,69.7,30,10572.0,512554.6,9.9,352.4,SP400
49,FIX,69.1,18,9068.4,521623.0,16.3,503.8,SP400
50,MTZ,68.7,57,8835.0,530458.0,5.2,155.0,SP400
