Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,BB,295.0,1300,5460.0,5460.0,0.2,4.2,BUG
2,NET,221.1,70,8757.0,14217.0,3.7,125.1,BUG
3,ATEN,181.5,650,12545.0,26762.0,0.4,19.3,BUG
4,CRWD,114.4,20,7498.0,34260.0,12.4,374.9,BUG
5,FTNT,100.2,108,10465.2,44725.2,2.4,96.9,BUG
6,CYBR,86.8,26,9352.2,54077.4,9.7,359.7,BUG
7,OSPN,80.1,433,8400.2,62477.6,0.6,19.4,BUG
8,OKTA,44.6,108,9601.2,72078.8,2.4,88.9,BUG
9,QLYS,21.5,81,11591.1,83669.9,3.2,143.1,BUG
10,ZS,6.9,49,9481.5,93151.4,5.3,193.5,BUG
11,PANW,3.5,50,9385.0,102536.4,5.2,187.7,BUG
12,TENB,0.0,200,8680.0,111216.4,1.3,43.4,BUG
13,CHKP,-1.8,65,12642.5,123858.9,4.0,194.5,BUG
