Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,EQT,194.7,152,8116.8,8116.8,1.7,53.4,XLE
2,BKR,59.4,185,8584.0,16700.8,1.4,46.4,XLE
3,TRGP,46.1,41,8421.4,25122.2,6.3,205.4,XLE
4,CTRA,40.4,371,10202.5,35324.7,0.7,27.5,XLE
5,KMI,25.1,288,7632.0,42956.7,0.9,26.5,XLE
6,WMB,11.2,136,7752.0,50708.7,1.9,57.0,XLE
7,HES,0.5,81,11874.6,62583.3,3.2,146.6,XLE
8,CVX,0.0,83,12889.9,75473.2,3.1,155.3,XLE
9,EOG,0.0,86,11119.8,86593.0,3.0,129.3,XLE
10,VLO,-0.3,52,7035.6,93628.6,5.0,135.3,XLE
11,MPC,-2.9,49,7648.9,101277.5,5.3,156.1,XLE
12,SLB,-4.2,200,8360.0,109637.5,1.3,41.8,XLE
13,PSX,-9.6,72,9216.0,118853.5,3.6,128.0,XLE
