Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MKSI,533.6,73,9351.3,9351.3,4.6,128.1,SOXX
2,NVDA,500.8,8,7002.4,16353.7,39.1,875.3,SOXX
3,AMD,474.8,37,7673.8,24027.5,9.0,207.4,SOXX
4,ASML,258.5,11,10937.3,34964.8,29.0,994.3,SOXX
5,AVGO,232.7,7,9160.9,44125.7,45.8,1308.7,SOXX
6,LRCX,213.8,11,10523.7,54649.4,28.8,956.7,SOXX
7,TSM,205.1,68,9955.2,64604.6,5.0,146.4,SOXX
8,MRVL,200.8,97,7313.8,71918.4,3.5,75.4,SOXX
9,MPWR,197.0,11,8054.2,79972.6,28.8,732.2,SOXX
10,ENTG,182.3,70,9800.0,89772.6,4.8,140.0,SOXX
11,AMAT,151.6,46,9457.6,99230.2,7.3,205.6,SOXX
12,KLAC,129.4,17,11886.4,111116.6,19.1,699.2,SOXX
13,QCOM,128.4,75,12795.0,123911.6,4.5,170.6,SOXX
14,NXPI,88.3,50,12600.0,136511.6,6.8,252.0,SOXX
15,LSCC,87.2,103,8281.2,144792.8,3.3,80.4,SOXX
16,QRVO,76.0,117,13583.7,158376.5,2.9,116.1,SOXX
17,MU,75.1,117,11419.2,169795.7,2.9,97.6,SOXX
18,ASX,71.8,1133,12689.6,182485.3,0.3,11.2,SOXX
19,CDNS,63.5,37,11418.2,193903.5,9.1,308.6,SOXX
20,TER,34.8,106,11246.6,205150.1,3.2,106.1,SOXX
21,TXN,22.2,106,18263.8,223413.9,3.2,172.3,SOXX
22,SWKS,20.4,125,13287.5,236701.4,2.7,106.3,SOXX
23,ADI,19.8,77,15084.3,251785.7,4.4,195.9,SOXX
24,ON,17.2,113,8915.7,260701.4,3.0,78.9,SOXX
25,SNPS,13.3,17,9712.1,270413.5,19.2,571.3,SOXX
26,MCHP,6.2,136,12076.8,282490.3,2.5,88.8,SOXX
27,INTC,5.8,212,9328.0,291818.3,1.6,44.0,SOXX
28,STM,1.1,283,13301.0,305119.3,1.2,47.0,SOXX
29,UMC,0.5,1700,13940.0,319059.3,0.2,8.2,SOXX
30,RMBS,-0.1,125,7975.0,327034.3,2.7,63.8,SOXX
