Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,NVDA,500.8,7,6127.1,6127.1,39.1,875.3,QQQ
2,AMD,474.8,31,6429.4,12556.5,9.0,207.4,QQQ
3,CRWD,422.0,15,4843.5,17400.0,18.0,322.9,QQQ
4,CTLT,420.4,400,22600.0,40000.0,0.7,56.5,SPX
5,TPR,374.3,233,10974.3,50974.3,1.2,47.1,SPX
6,BLDR,313.0,49,9790.2,60764.5,5.7,199.8,SPX
7,ALGN,307.4,29,9062.5,69827.0,9.5,312.5,SPX
8,META,297.0,22,11132.0,80959.0,12.7,506.0,QQQ
9,URI,296.8,15,10141.5,91100.5,17.7,676.1,SPX
10,UBER,285.2,100,7870.0,98970.5,2.8,78.7,SPX
11,RL,260.1,60,10560.0,109530.5,4.6,176.0,SPX
12,ASML,258.5,9,8948.7,118479.2,29.0,994.3,QQQ
13,AVGO,232.7,6,7852.2,126331.4,45.8,1308.7,QQQ
14,BBWI,225.1,186,8332.8,134664.2,1.5,44.8,SPX
15,LRCX,213.8,9,8610.3,143274.5,28.8,956.7,QQQ
16,JNPR,212.1,1400,52360.0,195634.5,0.2,37.4,SPX
17,AXP,204.4,93,20776.2,216410.7,3.0,223.4,SPX
18,MRVL,200.8,80,6032.0,222442.7,3.5,75.4,QQQ
19,VTRS,199.4,700,8610.0,231052.7,0.4,12.3,SPX
20,LUV,198.9,350,12005.0,243057.7,0.8,34.3,SPX
21,MPWR,197.0,9,6589.8,249647.5,28.8,732.2,SPX
22,MHK,190.0,84,10222.8,259870.3,3.3,121.7,SPX
23,CRM,188.3,35,10685.5,270555.8,7.9,305.3,SPX
24,ISRG,186.8,38,14892.2,285448.0,7.3,391.9,QQQ
25,GM,185.3,311,12284.5,297732.5,0.9,39.5,SPX
26,DASH,180.5,56,7380.8,305113.3,5.0,131.8,QQQ
27,CAT,180.1,46,15603.2,320716.5,6.0,339.2,SPX
28,DVA,172.0,65,8788.0,329504.5,4.3,135.2,SPX
29,HCA,169.3,54,17571.6,347076.1,5.1,325.4,SPX
30,FTNT,168.4,127,9055.1,356131.2,2.2,71.3,QQQ
31,TRMB,167.8,175,11042.5,367173.7,1.6,63.1,SPX
32,WDC,159.7,147,9261.0,376434.7,1.9,63.0,SPX
33,IR,159.0,164,14825.6,391260.3,1.7,90.4,SPX
34,SYF,157.5,311,13093.1,404353.4,0.9,42.1,SPX
35,GE,156.4,84,14112.0,418465.4,3.3,168.0,SPX
36,ANET,156.3,29,7919.9,426385.3,9.4,273.1,SPX
37,NFLX,154.8,19,11491.2,437876.5,14.5,604.8,QQQ
38,EFX,154.5,45,12150.0,450026.5,6.2,270.0,SPX
39,AMAT,151.6,38,7812.8,457839.3,7.3,205.6,QQQ
40,ULTA,146.8,26,14045.2,471884.5,10.5,540.2,SPX
41,TRV,143.9,93,20311.2,492195.7,3.0,218.4,SPX
42,EW,142.7,140,12894.0,505089.7,2.0,92.1,SPX
43,MAS,141.5,200,15380.0,520469.7,1.4,76.9,SPX
44,COST,140.9,21,15237.6,535707.3,13.0,725.6,QQQ
45,DFS,140.9,93,11280.9,546988.2,3.0,121.3,SPX
46,DELL,140.5,50,5810.0,552798.2,5.6,116.2,SPX
47,FICO,136.5,8,10403.2,563201.4,31.2,1300.4,SPX
48,C,135.7,254,14605.0,577806.4,1.1,57.5,SPX
49,HWM,134.5,254,17195.8,595002.2,1.1,67.7,SPX
50,HUBB,132.7,38,14937.8,609940.0,7.3,393.1,SPX
