Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,ELF,600.0,30,5982.0,5982.0,9.3,199.4,SP400
2,COHR,542.8,103,6056.4,12038.4,2.7,58.8,SP400
3,MKSI,441.3,66,7999.2,20037.6,4.2,121.2,SP400
4,THC,329.4,107,10571.6,30609.2,2.6,98.8,SP400
5,WING,312.3,20,6952.0,37561.2,13.6,347.6,SP400
6,SWAV,310.6,28,7672.0,45233.2,9.7,274.0,SP400
7,VST,295.1,127,7823.2,53056.4,2.2,61.6,SP400
8,DKS,270.0,48,10152.0,63208.4,5.8,211.5,SP400
9,PVH,262.7,87,11388.3,74596.7,3.2,130.9,SP400
10,EXP,258.6,56,13977.6,88574.3,5.0,249.6,SP400
11,AYI,245.2,65,16802.5,105376.8,4.3,258.5,SP400
12,FIX,241.8,25,7715.0,113091.8,11.0,308.6,SP400
13,MASI,231.7,62,8227.4,121319.2,4.5,132.7,SP400
14,SAIA,231.3,15,8671.5,129990.7,17.6,578.1,SP400
15,CNM,220.9,254,12928.6,142919.3,1.1,50.9,SP400
16,DECK,215.5,12,10917.6,153836.9,22.4,909.8,SP400
17,SFM,215.0,164,10578.0,164414.9,1.7,64.5,SP400
18,KMPR,209.4,233,13630.5,178045.4,1.2,58.5,SP400
19,TREX,209.3,100,9440.0,187485.4,2.8,94.4,SP400
20,KNSL,209.0,16,8257.6,195743.0,16.9,516.1,SP400
21,RRX,202.6,73,12607.1,208350.1,3.8,172.7,SP400
22,CG,189.0,280,12488.0,220838.1,1.0,44.6,SP400
23,CVLT,181.2,147,14391.3,235229.4,1.9,97.9,SP400
24,BLD,177.9,22,9015.6,244245.0,12.7,409.8,SP400
25,MEDP,176.3,27,10713.6,254958.6,10.2,396.8,SP400
26,XPO,172.9,80,9816.0,264774.6,3.5,122.7,SP400
27,TXRH,172.7,82,12488.6,277263.2,3.4,152.3,SP400
28,WSM,172.4,30,8514.0,285777.2,9.1,283.8,SP400
29,ERIE,170.1,24,10003.2,295780.4,11.3,416.8,SP400
30,IBKR,169.5,133,14284.2,310064.6,2.1,107.4,SP400
31,BRKR,168.0,133,12249.3,322313.9,2.1,92.1,SP400
32,SLM,166.9,560,11480.0,333793.9,0.5,20.5,SP400
33,ONTO,165.4,35,6139.0,339932.9,7.8,175.4,SP400
34,MTZ,155.3,87,7342.8,347275.7,3.2,84.4,SP400
35,WMS,154.1,70,11431.0,358706.7,4.0,163.3,SP400
36,EME,152.3,33,10840.5,369547.2,8.3,328.5,SP400
37,BURL,150.9,45,9810.0,379357.2,6.2,218.0,SP400
38,PSTG,150.2,107,5350.0,384707.2,2.6,50.0,SP400
39,ALLY,142.0,280,10528.0,395235.2,1.0,37.6,SP400
40,EVR,141.1,80,15144.0,410379.2,3.5,189.3,SP400
41,SLAB,139.6,58,7592.2,417971.4,4.8,130.9,SP400
42,TOL,139.0,82,9864.6,427836.0,3.4,120.3,SP400
43,WEX,138.7,77,17879.4,445715.4,3.6,232.2,SP400
44,LECO,131.5,66,16394.4,462109.8,4.2,248.4,SP400
45,CELH,130.9,56,5202.4,467312.2,5.0,92.9,SP400
46,CSL,127.5,43,15974.5,483286.7,6.5,371.5,SP400
47,TPX,127.1,233,12349.0,495635.7,1.2,53.0,SP400
48,H,125.7,82,12595.2,508230.9,3.4,153.6,SP400
49,NVT,123.1,186,13020.0,521250.9,1.5,70.0,SP400
50,EEFT,120.3,121,13055.9,534306.8,2.3,107.9,SP400
