Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,CRWD,338.8,20,6312.0,6312.0,17.3,315.6,WCLD
2,FROG,331.8,200,8440.0,14752.0,1.8,42.2,WCLD
3,TOST,287.3,327,7684.5,22436.5,1.1,23.5,WCLD
4,WIX,230.0,76,10305.6,32742.1,4.7,135.6,WCLD
5,PCOR,193.9,138,10846.8,43588.9,2.6,78.6,WCLD
6,MNDY,165.8,45,9765.0,53353.9,7.9,217.0,WCLD
7,CRM,159.1,45,13243.5,66597.4,8.0,294.3,WCLD
8,OKTA,151.4,76,8063.6,74661.0,4.7,106.1,WCLD
9,NET,149.2,87,7969.2,82630.2,4.1,91.6,WCLD
10,HUBS,141.9,20,12022.0,94652.2,17.2,601.1,WCLD
11,DOCN,140.7,189,7389.9,102042.1,1.9,39.1,WCLD
12,VEEV,129.3,67,15209.0,117251.1,5.3,227.0,WCLD
13,QTWO,125.0,225,10890.0,128141.1,1.6,48.4,WCLD
14,AVDX,73.2,720,8928.0,137069.1,0.5,12.4,WCLD
15,TENB,71.7,240,11040.0,148109.1,1.5,46.0,WCLD
16,NOW,67.2,14,10414.6,158523.7,24.7,743.9,WCLD
17,IOT,60.3,180,6444.0,164967.7,2.0,35.8,WCLD
18,SQ,57.6,90,7218.0,172185.7,4.0,80.2,WCLD
19,DDOG,46.6,83,9993.2,182178.9,4.3,120.4,WCLD
20,WDAY,45.9,48,12878.4,195057.3,7.5,268.3,WCLD
21,APPF,40.2,59,13068.5,208125.8,6.1,221.5,WCLD
22,PATH,33.6,327,7455.6,215581.4,1.1,22.8,WCLD
23,SQSP,31.4,300,9720.0,225301.4,1.2,32.4,WCLD
24,DOCU,30.2,189,10735.2,236036.6,1.9,56.8,WCLD
25,SHOP,28.4,133,10267.6,246304.2,2.7,77.2,WCLD
26,PCTY,27.2,78,12994.8,259299.0,4.6,166.6,WCLD
27,RNG,25.2,240,8400.0,267699.0,1.5,35.0,WCLD
28,ZI,19.5,600,9600.0,277299.0,0.6,16.0,WCLD
29,BOX,10.0,450,13230.0,290529.0,0.8,29.4,WCLD
30,BL,8.7,171,11217.6,301746.6,2.1,65.6,WCLD
31,PYPL,4.4,240,15072.0,316818.6,1.5,62.8,WCLD
32,ZUO,1.2,1200,10680.0,327498.6,0.3,8.9,WCLD
33,AI,0.1,163,4710.7,332209.3,2.2,28.9,WCLD
