Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,CRWD,269.6,17,5569.2,5569.2,14.7,327.6,BUG
2,CYBR,187.4,32,8579.2,14148.4,7.9,268.1,BUG
3,FTNT,164.3,144,9835.2,23983.6,1.8,68.3,BUG
4,OKTA,152.2,60,6366.0,30349.6,4.3,106.1,BUG
5,NET,116.0,66,6375.6,36725.2,3.9,96.6,BUG
6,RDWR,86.0,433,8227.0,44952.2,0.6,19.0,BUG
7,VRNS,79.8,173,8304.0,53256.2,1.5,48.0,BUG
8,TENB,51.9,200,9680.0,62936.2,1.3,48.4,BUG
9,CHKP,47.3,89,14693.9,77630.1,2.9,165.1,BUG
10,ATEN,17.7,650,8840.0,86470.1,0.4,13.6,BUG
11,GEN,0.0,650,14365.0,100835.1,0.4,22.1,BUG
12,OSPN,-0.0,433,4849.6,105684.7,0.6,11.2,BUG
13,NOC,-2.1,46,21564.8,127249.5,5.6,468.8,BUG
14,TLS,-2.3,866,3464.0,130713.5,0.3,4.0,BUG
