Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,APP,375.0,107,7618.4,7618.4,2.8,71.2,IGV
2,NTNX,322.0,130,8372.0,15990.4,2.3,64.4,IGV
3,MARA,234.3,96,2006.4,17996.8,3.1,20.9,IGV
4,PCOR,169.3,150,12285.0,30281.8,2.0,81.9,IGV
5,HUBS,104.7,17,10570.6,40852.4,16.8,621.8,IGV
6,VRNS,79.8,200,9600.0,50452.4,1.5,48.0,IGV
7,GWRE,68.6,125,14187.5,64639.9,2.4,113.5,IGV
8,PLTR,66.3,272,6582.4,71222.3,1.1,24.2,IGV
9,APPF,60.2,50,11665.0,82887.3,5.9,233.3,IGV
10,TENB,51.9,230,11132.0,94019.3,1.3,48.4,IGV
11,ALTR,42.2,130,10998.0,105017.3,2.3,84.6,IGV
12,IOT,41.9,150,5565.0,110582.3,2.0,37.1,IGV
13,MANH,38.6,58,14546.4,125128.7,5.1,250.8,IGV
14,DSGX,36.3,142,13177.6,138306.3,2.1,92.8,IGV
15,DOCU,15.7,150,8745.0,147051.3,2.0,58.3,IGV
16,PATH,10.6,300,6900.0,153951.3,1.0,23.0,IGV
17,SPSC,1.1,60,10926.0,164877.3,5.0,182.1,IGV
18,AZPN,0.0,60,12048.0,176925.3,5.0,200.8,IGV
19,BSY,-0.9,214,11106.6,188031.9,1.4,51.9,IGV
