Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,PSX,107.1,60,9564.0,9564.0,3.3,159.4,XOP
2,MPC,98.0,44,8808.8,18372.8,4.5,200.2,XOP
3,VLO,84.5,45,7632.0,26004.8,4.4,169.6,XOP
4,WKC,67.1,285,7410.0,33414.8,0.7,26.0,XOP
5,PR,65.8,500,8550.0,41964.8,0.4,17.1,XOP
6,FANG,56.3,66,12850.2,54815.0,3.0,194.7,XOP
7,TRGP,47.6,117,12975.3,67790.3,1.7,110.9,XLE
8,PBF,46.7,90,5067.0,72857.3,2.2,56.3,XOP
9,SM,42.2,181,8814.7,81672.0,1.1,48.7,XOP
10,OKE,38.1,181,14299.0,95971.0,1.1,79.0,XLE
11,PARR,20.9,133,5187.0,101158.0,1.5,39.0,XOP
12,CVI,18.8,166,6042.4,107200.4,1.2,36.4,XOP
13,MTDR,16.7,142,9641.8,116842.2,1.4,67.9,XOP
14,DINO,14.9,111,6837.6,123679.8,1.8,61.6,XOP
15,OVV,14.5,181,9231.0,132910.8,1.1,51.0,XOP
16,GPOR,12.9,48,7670.4,140581.2,4.1,159.8,XOP
17,CVX,11.9,80,12376.0,152957.2,2.5,154.7,XOP
18,VTLE,9.7,142,7100.0,160057.2,1.4,50.0,XOP
19,MGY,7.3,400,9920.0,169977.2,0.5,24.8,XOP
20,SWN,7.1,2000,14600.0,184577.2,0.1,7.3,XOP
21,XOM,6.3,125,14187.5,198764.7,1.6,113.5,XOP
22,HES,3.8,71,10621.6,209386.3,2.8,149.6,XOP
23,PXD,3.7,57,14563.5,223949.8,3.5,255.5,XOP
24,AR,3.5,285,7695.0,231644.8,0.7,27.0,XOP
25,EGY,1.4,1000,6200.0,237844.8,0.2,6.2,XOP
26,OXY,1.1,222,14163.6,252008.4,0.9,63.8,XOP
27,DK,0.7,181,5556.7,257565.1,1.1,30.7,XOP
28,STR,0.6,400,9720.0,267285.1,0.5,24.3,XOP
29,CRC,0.6,95,5044.5,272329.6,2.1,53.1,XOP
30,CNX,0.4,400,9080.0,281409.6,0.5,22.7,XOP
31,BRY,0.2,1000,7700.0,289109.6,0.2,7.7,XOP
32,WMB,0.2,333,12720.6,301830.2,0.6,38.2,XLE
33,KMI,0.1,1000,18100.0,319930.2,0.2,18.1,XLE
34,CPE,0.1,250,8700.0,328630.2,0.8,34.8,XOP
35,VTS,-0.0,333,7925.4,336555.6,0.6,23.8,XOP
36,SBOW,-0.0,153,5309.1,341864.7,1.3,34.7,XOP
37,COP,0.0,100,12300.0,354164.7,2.0,123.0,XOP
38,MRO,-0.0,400,10840.0,365004.7,0.5,27.1,XOP
39,CIVI,-0.0,100,7400.0,372404.7,2.0,74.0,XOP
40,CHRD,0.0,64,10822.4,383227.1,3.1,169.1,XOP
41,RRC,-0.0,285,9462.0,392689.1,0.7,33.2,XOP
42,DVN,0.0,250,12100.0,404789.1,0.8,48.4,XOP
43,CTRA,0.0,400,10920.0,415709.1,0.5,27.3,XOP
44,HAL,-0.3,250,9600.0,425309.1,0.8,38.4,XLE
45,NOG,-0.5,250,9750.0,435059.1,0.8,39.0,XOP
46,SLB,-0.6,200,10800.0,445859.1,1.0,54.0,XLE
47,TPL,-0.9,4,6743.6,452602.7,40.6,1685.9,XOP
48,MUR,-1.4,200,8860.0,461462.7,1.0,44.3,XOP
49,EOG,-1.7,100,12480.0,473942.7,2.0,124.8,XOP
50,BKR,-11.5,333,11122.2,485064.9,0.6,33.4,XLE
