COPX: Global X Copper Miners ETF
Inception Date: 2010-04-19
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	1372420
Shares Outstanding: 38443000
Expense Ratio: 0.65%
Tracks This Index: Stuttgart Solactive AG Global Copper Miners (USD)
ETF Database Category: Materials
"Issuer: Mirae Asset Global Investments Co., Ltd."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/COPX


Holding,Symbol,Weighting
Antofagasta plc,ANTO,6.12%
Ivanhoe Mines Ltd. Class A,IVN,5.98%
Lundin Mining Corporation,LUN,5.29%
"Zijin Mining Group Co., Ltd. Class H",2899,4.97%
Southern Copper Corporation,SCCO,4.95%
"Freeport-McMoRan, Inc.",FCX,4.75%
KGHM Polska Miedz S.A.,KGH,4.69%
BHP Group Ltd,BHP,4.56%
"Sumitomo Metal Mining Co., Ltd.",5713,4.31%
Teck Resources Limited Class B,TECK.B,4.24%
Boliden AB,BOL,4.16%
Sandfire Resources Ltd,SFR,3.98%
Glencore plc,GLEN,3.88%
Mitsubishi Materials Corp.,5711,3.88%
Capstone Copper Corp,CS,3.7%
Hudbay Minerals Inc,HBM,3.57%
Aurubis AG,NDA,3.44%
Jiangxi Copper Company Limited Class H,358,2.95%
Filo Corp.,FIL,2.5%
Ero Copper Corp.,ERO,2.47%
China Gold International Resources Corp. Ltd.,CGG,2.0%
First Quantum Minerals Ltd.,FM,1.81%
China Nonferrous Mining Corp. Ltd.,1258,1.45%
Al Masane Al Kobra Mining Co.,1322,1.38%
MMG Ltd.,1208,1.37%
NGEx Minerals Ltd.,NGEX,1.2%
Foran Mining Corporation,FOM,1.01%
Altius Minerals Corporation,ALS,0.88%
Jinchuan Group International Resources Co. Ltd,2362,0.75%
Taseko Mines Limited,TKO,0.75%
Atalaya Mining Plc,ATYM,0.73%
Central Asia Metals Plc,CAML,0.62%
"Nittetsu Mining Co., Ltd.",1515,0.57%
Solaris Resources Inc,SLS,0.36%
Develop Global Limited,DVP,0.33%
SolGold Plc,SOLG,0.22%
29metals Ltd.,29M,0.15%
U.S. Dollar,Other,0.04%
