DIA: SPDR Dow Jones Industrial Average ETF Trust
Inception Date: 1998-01-14
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	33197000
Shares Outstanding: 85192000
Expense Ratio: 0.16%
Tracks This Index: Dow Jones Industrial Average
ETF Database Category: Large Cap Growth Equities
Issuer: State Street
Structure: UIT
ETF Home Page: https://etfdb.com/etf/DIA


Holding,Symbol,Weighting
UnitedHealth Group Incorporated,UNH,8.37%
Microsoft Corporation,MSFT,6.85%
"Goldman Sachs Group, Inc.",GS,6.61%
"Home Depot, Inc.",HD,6.34%
Caterpillar Inc.,CAT,5.54%
"Salesforce, Inc.",CRM,5.04%
McDonald\'s Corporation,MCD,4.96%
Visa Inc. Class A,V,4.8%
Amgen Inc.,AMGN,4.66%
"Travelers Companies, Inc.",TRV,3.7%
American Express Company,AXP,3.66%
Boeing Company,BA,3.48%
Honeywell International Inc.,HON,3.32%
International Business Machines Corporation,IBM,3.11%
JPMorgan Chase & Co.,JPM,3.1%
Apple Inc.,AAPL,3.05%
"Amazon.com, Inc.",AMZN,2.91%
Johnson & Johnson,JNJ,2.71%
Procter & Gamble Company,PG,2.69%
Chevron Corporation,CVX,2.56%
"Merck & Co., Inc.",MRK,2.15%
Walt Disney Company,DIS,1.86%
"NIKE, Inc. Class B",NKE,1.75%
3M Company,MMM,1.54%
Coca-Cola Company,KO,1.01%
Walmart Inc.,WMT,1.0%
"Dow, Inc.",DOW,0.93%
"Cisco Systems, Inc.",CSCO,0.81%
Intel Corporation,INTC,0.71%
Verizon Communications Inc.,VZ,0.67%
U.S. Dollar,Other,0.1%
