ITB: iShares U.S. Home Construction ETF
Inception Date: 2006-05-01
Fund Holdings as of: 2024-03-04
Total Assets Under Management (in thousands):	3024420
Shares Outstanding: 27700000
Expense Ratio: 0.4%
Tracks This Index: Dow Jones U.S. Select Home Construction Index
ETF Database Category: Building & Construction 
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ITB


Holding,Symbol,Weighting
"D.R. Horton, Inc.",DHI,14.15%
Lennar Corporation Class A,LEN,12.36%
"NVR, Inc.",NVR,7.48%
"PulteGroup, Inc.",PHM,7.37%
Sherwin-Williams Company,SHW,4.42%
"Home Depot, Inc.",HD,4.38%
"Lowe\'s Companies, Inc.",LOW,4.36%
TopBuild Corp.,BLD,3.96%
"Toll Brothers, Inc.",TOL,3.88%
"Builders FirstSource, Inc.",BLDR,3.26%
Masco Corporation,MAS,2.3%
Lennox International Inc.,LII,2.01%
Taylor Morrison Home Corporation,TMHC,1.91%
Owens Corning,OC,1.79%
Meritage Homes Corporation,MTH,1.78%
"Installed Building Products, Inc.",IBP,1.75%
"Floor & Decor Holdings, Inc. Class A",FND,1.74%
KB Home,KBH,1.6%
Skyline Champion Corp.,SKY,1.4%
"Trex Company, Inc.",TREX,1.37%
"Fortune Brands Innovations, Inc.",FBIN,1.36%
"Simpson Manufacturing Co., Inc.",SSD,1.19%
Eagle Materials Inc.,EXP,1.19%
"M.D.C. Holdings, Inc.",MDC,1.15%
"M/I Homes, Inc.",MHO,1.09%
"Tri Pointe Homes, Inc.",TPH,1.05%
"AZEK Co., Inc. Class A",AZEK,0.96%
"UFP Industries, Inc.",UFPI,0.94%
"Cavco Industries, Inc.",CVCO,0.88%
"Mohawk Industries, Inc.",MHK,0.84%
"Century Communities, Inc.",CCS,0.75%
"LGI Homes, Inc.",LGIH,0.71%
"Beacon Roofing Supply, Inc.",BECN,0.71%
Lennar Corporation Class B,LEN.B,0.59%
"Green Brick Partners, Inc.",GRBK,0.41%
Masonite International Corp.,DOOR,0.37%
"Leggett & Platt, Incorporated",LEG,0.37%
"PGT Innovations, Inc.",PGTI,0.31%
MasterBrand Inc,MBC,0.29%
"Beazer Homes USA, Inc.",BZH,0.28%
"Dream Finders Homes, Inc. Class A",DFH,0.27%
"Hayward Holdings, Inc.",HAYW,0.24%
"JELD-WEN Holding, Inc.",JELD,0.21%
American Woodmark Corporation,AMWD,0.21%
Quanex Building Products Corporation,NX,0.15%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.13%
Ethan Allen Interiors Inc.,ETD,0.1%
U.S. Dollar,Other,0.01%
