QQQ: Invesco QQQ Trust Series I
Inception Date: 1999-03-10
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	251983000
Shares Outstanding: 578950000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETF Database Category: Large Cap Growth Equities
Issuer: Invesco
Structure: UIT
ETF Home Page: https://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
Microsoft Corporation,MSFT,8.82%
Apple Inc.,AAPL,8.06%
NVIDIA Corporation,NVDA,5.61%
"Amazon.com, Inc.",AMZN,5.24%
Meta Platforms Inc Class A,META,4.96%
Broadcom Inc.,AVGO,4.5%
"Tesla, Inc.",TSLA,2.79%
Costco Wholesale Corporation,COST,2.44%
Alphabet Inc. Class A,GOOGL,2.35%
"Advanced Micro Devices, Inc.",AMD,2.3%
Alphabet Inc. Class C,GOOG,2.3%
"Netflix, Inc.",NFLX,1.96%
Adobe Inc.,ADBE,1.89%
"PepsiCo, Inc.",PEP,1.68%
"Cisco Systems, Inc.",CSCO,1.46%
"T-Mobile US, Inc.",TMUS,1.4%
Intuit Inc.,INTU,1.37%
Intel Corporation,INTC,1.34%
QUALCOMM Incorporated,QCOM,1.3%
Comcast Corporation Class A,CMCSA,1.27%
"Applied Materials, Inc.",AMAT,1.25%
Texas Instruments Incorporated,TXN,1.13%
Amgen Inc.,AMGN,1.09%
"Intuitive Surgical, Inc.",ISRG,1.01%
Honeywell International Inc.,HON,0.97%
Lam Research Corporation,LRCX,0.92%
Booking Holdings Inc.,BKNG,0.9%
Vertex Pharmaceuticals Incorporated,VRTX,0.8%
Starbucks Corporation,SBUX,0.8%
"Regeneron Pharmaceuticals, Inc.",REGN,0.77%
"Automatic Data Processing, Inc.",ADP,0.77%
"Micron Technology, Inc.",MU,0.74%
"Mondelez International, Inc. Class A",MDLZ,0.74%
"Palo Alto Networks, Inc.",PANW,0.73%
"Analog Devices, Inc.",ADI,0.71%
KLA Corporation,KLAC,0.69%
"Gilead Sciences, Inc.",GILD,0.67%
"Synopsys, Inc.",SNPS,0.65%
PDD Holdings Inc. Sponsored ADR Class A,PDD,0.62%
ASML Holding NV ADR,ASML,0.62%
"Cadence Design Systems, Inc.",CDNS,0.61%
"MercadoLibre, Inc.",MELI,0.6%
CSX Corporation,CSX,0.56%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.55%
"Marriott International, Inc. Class A",MAR,0.54%
"Airbnb, Inc. Class A",ABNB,0.51%
NXP Semiconductors NV,NXPI,0.48%
"O\'Reilly Automotive, Inc.",ORLY,0.48%
"PayPal Holdings, Inc.",PYPL,0.48%
Cintas Corporation,CTAS,0.47%
"Marvell Technology, Inc.",MRVL,0.46%
"Workday, Inc. Class A",WDAY,0.46%
Monster Beverage Corporation,MNST,0.46%
"Roper Technologies, Inc.",ROP,0.43%
PACCAR Inc,PCAR,0.43%
Lululemon Athletica Inc,LULU,0.42%
"Autodesk, Inc.",ADSK,0.41%
Constellation Energy Corporation,CEG,0.4%
"Fortinet, Inc.",FTNT,0.39%
"Copart, Inc.",CPRT,0.38%
"Ross Stores, Inc.",ROST,0.37%
"Old Dominion Freight Line, Inc.",ODFL,0.36%
"IDEXX Laboratories, Inc.",IDXX,0.35%
"DoorDash, Inc. Class A",DASH,0.34%
Microchip Technology Incorporated,MCHP,0.34%
"DexCom, Inc.",DXCM,0.33%
"American Electric Power Company, Inc.",AEP,0.33%
"Paychex, Inc.",PAYX,0.33%
"Charter Communications, Inc. Class A",CHTR,0.32%
Kraft Heinz Company,KHC,0.32%
Keurig Dr Pepper Inc.,KDP,0.31%
Fastenal Company,FAST,0.31%
GE Healthcare Technologies Inc.,GEHC,0.31%
Datadog Inc Class A,DDOG,0.29%
Cognizant Technology Solutions Corporation Class A,CTSH,0.29%
Astrazeneca PLC Sponsored ADR,AZN,0.28%
"Trade Desk, Inc. Class A",TTD,0.28%
Electronic Arts Inc.,EA,0.28%
"Zscaler, Inc.",ZS,0.27%
"CoStar Group, Inc.",CSGP,0.26%
Verisk Analytics Inc,VRSK,0.26%
Exelon Corporation,EXC,0.26%
"Moderna, Inc.",MRNA,0.26%
ON Semiconductor Corporation,ON,0.25%
"MongoDB, Inc. Class A",MDB,0.24%
Atlassian Corp Class A,TEAM,0.24%
"Diamondback Energy, Inc.",FANG,0.24%
"Dollar Tree, Inc.",DLTR,0.24%
CDW Corporation,CDW,0.24%
Biogen Inc.,BIIB,0.23%
Coca-Cola Europacific Partners plc,CCEP,0.23%
"ANSYS, Inc.",ANSS,0.22%
GlobalFoundries Inc.,GFS,0.22%
Xcel Energy Inc.,XEL,0.22%
Baker Hughes Company Class A,BKR,0.22%
Splunk Inc.,SPLK,0.2%
"Take-Two Interactive Software, Inc.",TTWO,0.19%
"Warner Bros. Discovery, Inc. Series A",WBD,0.16%
"Illumina, Inc.",ILMN,0.16%
"Walgreens Boots Alliance, Inc.",WBA,0.14%
"Sirius XM Holdings, Inc.",SIRI,0.13%
U.S. Dollar,Other,0.1%
