RSPG: Invesco S&P 500 Equal Weight Energy ETF
Inception Date: 2006-11-01
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	526086
Shares Outstanding: 7070000
Expense Ratio: 0.4%
Tracks This Index: S&P 500 Equal Weight Energy Plus Index
ETF Database Category: Energy Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RSPG


Holding,Symbol,Weighting
"Diamondback Energy, Inc.",FANG,5.11%
Marathon Petroleum Corporation,MPC,4.93%
Valero Energy Corporation,VLO,4.8%
Phillips 66,PSX,4.74%
Targa Resources Corp.,TRGP,4.73%
"ONEOK, Inc.",OKE,4.59%
Hess Corporation,HES,4.52%
Occidental Petroleum Corporation,OXY,4.47%
Pioneer Natural Resources Company,PXD,4.39%
Chevron Corporation,CVX,4.39%
Exxon Mobil Corporation,XOM,4.38%
Coterra Energy Inc.,CTRA,4.35%
"Williams Companies, Inc.",WMB,4.22%
Marathon Oil Corporation,MRO,4.19%
Halliburton Company,HAL,4.18%
ConocoPhillips,COP,4.18%
EQT Corporation,EQT,4.17%
Devon Energy Corporation,DVN,4.16%
Schlumberger N.V.,SLB,4.13%
Kinder Morgan Inc Class P,KMI,4.09%
"EOG Resources, Inc.",EOG,4.01%
Baker Hughes Company Class A,BKR,3.82%
APA Corporation,APA,3.6%
U.S. Dollar,Other,-0.17%
