SLX: VanEck Steel ETF
Inception Date: 2006-10-10
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	126659
Shares Outstanding: 1800000
Expense Ratio: 0.56%
Tracks This Index: NYSE Arca Steel (TR)
ETF Database Category: Materials
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SLX


Holding,Symbol,Weighting
Rio Tinto plc Sponsored ADR,RIO,10.25%
Vale S.A. Sponsored ADR,VALE,10.01%
Nucor Corporation,NUE,7.79%
United States Steel Corporation,X,5.42%
"Reliance, Inc.",RS,5.33%
"Steel Dynamics, Inc.",STLD,5.31%
Tenaris S.A. Sponsored ADR,TS,5.24%
ATI Inc.,ATI,5.11%
Commercial Metals Company,CMC,5.07%
Cleveland-Cliffs Inc,CLF,4.87%
ArcelorMittal SA ADR,MT,4.79%
POSCO Holdings Inc. Sponsored ADR,PKX,4.48%
Carpenter Technology Corporation,CRS,4.38%
Ternium S.A. Sponsored ADR,TX,4.33%
Companhia Siderurgica Nacional Sponsored ADR,SID,4.28%
Gerdau S.A. Pfd Sponsored ADR Repr 1 Pfd Sh,GGB,4.08%
"Warrior Met Coal, Inc.",HCC,2.65%
"Gibraltar Industries, Inc.",ROCK,2.1%
Ryerson Holding Corporation,RYI,0.96%
Metallus Inc.,MTUS,0.78%
Algoma Steel Group Inc.,ASTL,0.78%
"SunCoke Energy, Inc.",SXC,0.77%
"Olympic Steel, Inc.",ZEUS,0.66%
"Radius Recycling, Inc. Class A",RDUS,0.5%
U.S. Dollar,Other,0.06%
