XLB: Materials Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	5140850
Shares Outstanding: 57523000
Expense Ratio: 0.09%
Tracks This Index: Materials Select Sector
ETF Database Category: Materials
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLB


Holding,Symbol,Weighting
Linde plc,LIN,22.32%
Sherwin-Williams Company,SHW,7.98%
"Freeport-McMoRan, Inc.",FCX,5.69%
Ecolab Inc.,ECL,5.64%
"Air Products and Chemicals, Inc.",APD,5.34%
Nucor Corporation,NUE,4.58%
"Dow, Inc.",DOW,3.98%
Corteva Inc,CTVA,3.87%
"Martin Marietta Materials, Inc.",MLM,3.7%
Newmont Corporation,NEM,3.57%
Vulcan Materials Company,VMC,3.56%
"PPG Industries, Inc.",PPG,3.33%
"DuPont de Nemours, Inc.",DD,3.08%
LyondellBasell Industries NV,LYB,2.54%
Ball Corporation,BALL,2.07%
International Flavors & Fragrances Inc.,IFF,2.02%
"Steel Dynamics, Inc.",STLD,2.01%
Avery Dennison Corporation,AVY,1.74%
Packaging Corporation of America,PKG,1.67%
"CF Industries Holdings, Inc.",CF,1.62%
Celanese Corporation,CE,1.56%
Albemarle Corporation,ALB,1.39%
Amcor PLC,AMCR,1.36%
International Paper Company,IP,1.26%
WestRock Company,WRK,1.17%
Eastman Chemical Company,EMN,1.07%
Mosaic Company,MOS,1.04%
FMC Corporation,FMC,0.78%
State Street Institutional Liquid Reserves Fund,SSIXX,0.05%
U.S. Dollar,Other,0.0%
