XLC: Communication Services Select Sector SPDR Fund
Inception Date: 2018-06-18
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	17551000
Shares Outstanding: 220550000
Expense Ratio: 0.09%
Tracks This Index: S&P Communication Services Select Sector Index
ETF Database Category: Large Cap Growth Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLC


Holding,Symbol,Weighting
Meta Platforms Inc Class A,META,30.89%
Alphabet Inc. Class A,GOOGL,11.01%
Alphabet Inc. Class C,GOOG,9.32%
"Netflix, Inc.",NFLX,5.3%
Walt Disney Company,DIS,4.73%
"T-Mobile US, Inc.",TMUS,4.17%
Verizon Communications Inc.,VZ,4.11%
AT&T Inc.,T,4.04%
Comcast Corporation Class A,CMCSA,4.02%
Electronic Arts Inc.,EA,3.92%
"Charter Communications, Inc. Class A",CHTR,3.07%
"Take-Two Interactive Software, Inc.",TTWO,2.8%
"Warner Bros. Discovery, Inc. Series A",WBD,2.38%
Omnicom Group Inc,OMC,2.23%
"Live Nation Entertainment, Inc.",LYV,1.74%
"Interpublic Group of Companies, Inc.",IPG,1.52%
News Corporation Class A,NWSA,1.23%
"Match Group, Inc.",MTCH,1.13%
Fox Corporation Class A,FOXA,0.88%
Paramount Global Class B,PARA,0.65%
Fox Corporation Class B,FOX,0.43%
News Corporation Class B,NWS,0.39%
State Street Institutional Liquid Reserves Fund,SSIXX,0.05%
