XLE: Energy Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	35600200
Shares Outstanding: 415424000
Expense Ratio: 0.1%
Tracks This Index: S&P Energy Select Sector Index
ETF Database Category: Energy Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLE


Holding,Symbol,Weighting
Exxon Mobil Corporation,XOM,23.07%
Chevron Corporation,CVX,17.65%
ConocoPhillips,COP,8.78%
"EOG Resources, Inc.",EOG,4.39%
Schlumberger N.V.,SLB,4.25%
Marathon Petroleum Corporation,MPC,4.22%
Phillips 66,PSX,4.13%
Pioneer Natural Resources Company,PXD,3.64%
Valero Energy Corporation,VLO,3.15%
"ONEOK, Inc.",OKE,2.88%
"Williams Companies, Inc.",WMB,2.85%
Hess Corporation,HES,2.67%
Occidental Petroleum Corporation,OXY,2.65%
Kinder Morgan Inc Class P,KMI,2.21%
"Diamondback Energy, Inc.",FANG,2.14%
Halliburton Company,HAL,2.08%
Baker Hughes Company Class A,BKR,1.97%
Devon Energy Corporation,DVN,1.88%
Targa Resources Corp.,TRGP,1.44%
Coterra Energy Inc.,CTRA,1.28%
EQT Corporation,EQT,1.0%
Marathon Oil Corporation,MRO,0.94%
APA Corporation,APA,0.61%
State Street Institutional Liquid Reserves Fund,SSIXX,0.08%
U.S. Dollar,Other,0.02%
