XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	37123500
Shares Outstanding: 914045000
Expense Ratio: 0.09%
Tracks This Index: S&P Financial Select Sector Index
ETF Database Category: Financials Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,13.11%
JPMorgan Chase & Co.,JPM,9.72%
Visa Inc. Class A,V,7.98%
Mastercard Incorporated Class A,MA,6.94%
Bank of America Corp,BAC,4.38%
Wells Fargo & Company,WFC,3.7%
"S&P Global, Inc.",SPGI,2.48%
American Express Company,AXP,2.3%
"Goldman Sachs Group, Inc.",GS,2.25%
"BlackRock, Inc.",BLK,2.09%
Progressive Corporation,PGR,2.07%
Morgan Stanley,MS,1.97%
Citigroup Inc.,C,1.97%
Chubb Limited,CB,1.81%
"Marsh & McLennan Companies, Inc.",MMC,1.81%
Charles Schwab Corp,SCHW,1.79%
"Fiserv, Inc.",FI,1.62%
Blackstone Inc.,BX,1.6%
"Intercontinental Exchange, Inc.",ICE,1.42%
CME Group Inc. Class A,CME,1.37%
U.S. Bancorp,USB,1.2%
"PayPal Holdings, Inc.",PYPL,1.14%
Aon Plc Class A,AON,1.13%
Moody\'s Corporation,MCO,1.09%
"PNC Financial Services Group, Inc.",PNC,1.07%
Arthur J. Gallagher & Co.,AJG,0.97%
Capital One Financial Corp,COF,0.93%
"American International Group, Inc.",AIG,0.93%
"Travelers Companies, Inc.",TRV,0.89%
Truist Financial Corporation,TFC,0.89%
"MetLife, Inc.",MET,0.79%
MSCI Inc. Class A,MSCI,0.78%
Aflac Incorporated,AFL,0.78%
Bank of New York Mellon Corp,BK,0.76%
"Fidelity National Information Services, Inc.",FIS,0.74%
"Ameriprise Financial, Inc.",AMP,0.74%
Allstate Corporation,ALL,0.73%
"Prudential Financial, Inc.",PRU,0.72%
Global Payments Inc.,GPN,0.6%
Arch Capital Group Ltd.,ACGL,0.58%
Discover Financial Services,DFS,0.54%
"Hartford Financial Services Group, Inc.",HIG,0.52%
Willis Towers Watson Public Limited Company,WTW,0.51%
T. Rowe Price Group,TROW,0.47%
Fifth Third Bancorp,FITB,0.44%
M&T Bank Corporation,MTB,0.42%
"Raymond James Financial, Inc.",RJF,0.4%
State Street Corporation,STT,0.4%
"FLEETCOR Technologies, Inc.",FLT,0.38%
"Brown & Brown, Inc.",BRO,0.36%
"Nasdaq, Inc.",NDAQ,0.36%
Cboe Global Markets Inc,CBOE,0.35%
Huntington Bancshares Incorporated,HBAN,0.35%
Regions Financial Corporation,RF,0.33%
Cincinnati Financial Corporation,CINF,0.33%
FactSet Research Systems Inc.,FDS,0.32%
"Principal Financial Group, Inc.",PFG,0.31%
W. R. Berkley Corporation,WRB,0.31%
Synchrony Financial,SYF,0.31%
Northern Trust Corporation,NTRS,0.3%
"Everest Group, Ltd.",EG,0.28%
"Citizens Financial Group, Inc.",CFG,0.28%
KeyCorp,KEY,0.25%
Loews Corporation,L,0.25%
"Jack Henry & Associates, Inc.",JKHY,0.23%
Globe Life Inc.,GL,0.19%
"Assurant, Inc.",AIZ,0.17%
State Street Institutional Liquid Reserves Fund,SSIXX,0.14%
"Franklin Resources, Inc.",BEN,0.14%
MarketAxess Holdings Inc.,MKTX,0.14%
Invesco Ltd.,IVZ,0.13%
Comerica Incorporated,CMA,0.12%
"Zions Bancorporation, N.A.",ZION,0.11%
U.S. Dollar,Other,0.0%
