XLI: Industrial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	16994400
Shares Outstanding: 138976000
Expense Ratio: 0.09%
Tracks This Index: S&P Industrial Select Sector
ETF Database Category: Industrials Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLI


Holding,Symbol,Weighting
General Electric Company,GE,4.84%
Caterpillar Inc.,CAT,4.58%
"Uber Technologies, Inc.",UBER,4.29%
Union Pacific Corporation,UNP,4.05%
Honeywell International Inc.,HON,3.5%
RTX Corporation,RTX,3.46%
Eaton Corp. Plc,ETN,3.14%
Boeing Company,BA,2.99%
"United Parcel Service, Inc. Class B",UPS,2.95%
Deere & Company,DE,2.65%
"Automatic Data Processing, Inc.",ADP,2.64%
Lockheed Martin Corporation,LMT,2.53%
"Waste Management, Inc.",WM,2.01%
CSX Corporation,CSX,2.0%
Illinois Tool Works Inc.,ITW,1.89%
Parker-Hannifin Corporation,PH,1.83%
Trane Technologies plc,TT,1.72%
Northrop Grumman Corp.,NOC,1.72%
TransDigm Group Incorporated,TDG,1.71%
Emerson Electric Co.,EMR,1.66%
General Dynamics Corporation,GD,1.63%
PACCAR Inc,PCAR,1.59%
Norfolk Southern Corporation,NSC,1.55%
FedEx Corporation,FDX,1.52%
Cintas Corporation,CTAS,1.43%
3M Company,MMM,1.37%
Carrier Global Corp.,CARR,1.29%
"Copart, Inc.",CPRT,1.27%
"United Rentals, Inc.",URI,1.21%
Fastenal Company,FAST,1.14%
"W.W. Grainger, Inc.",GWW,1.13%
"AMETEK, Inc.",AME,1.11%
Johnson Controls International plc,JCI,1.11%
L3Harris Technologies Inc,LHX,1.08%
Otis Worldwide Corporation,OTIS,1.06%
"Paychex, Inc.",PAYX,1.03%
Cummins Inc.,CMI,1.01%
"Old Dominion Freight Line, Inc.",ODFL,1.01%
"Republic Services, Inc.",RSG,1.0%
Ingersoll Rand Inc.,IR,0.97%
"Quanta Services, Inc.",PWR,0.93%
Verisk Analytics Inc,VRSK,0.91%
"Rockwell Automation, Inc.",ROK,0.89%
Equifax Inc.,EFX,0.88%
Xylem Inc.,XYL,0.81%
Fortive Corp.,FTV,0.79%
"Delta Air Lines, Inc.",DAL,0.72%
Howmet Aerospace Inc.,HWM,0.7%
Westinghouse Air Brake Technologies Corporation,WAB,0.68%
"Builders FirstSource, Inc.",BLDR,0.65%
"Broadridge Financial Solutions, Inc.",BR,0.63%
Dover Corporation,DOV,0.63%
Axon Enterprise Inc,AXON,0.58%
Hubbell Incorporated,HUBB,0.56%
Southwest Airlines Co.,LUV,0.54%
Veralto Corporation,VLTO,0.52%
Jacobs Solutions Inc.,J,0.49%
Textron Inc.,TXT,0.48%
IDEX Corporation,IEX,0.48%
"Leidos Holdings, Inc.",LDOS,0.47%
"Expeditors International of Washington, Inc.",EXPD,0.47%
Masco Corporation,MAS,0.46%
"J.B. Hunt Transport Services, Inc.",JBHT,0.43%
Snap-on Incorporated,SNA,0.41%
Nordson Corporation,NDSN,0.38%
"United Airlines Holdings, Inc.",UAL,0.38%
"Stanley Black & Decker, Inc.",SWK,0.37%
Pentair plc,PNR,0.36%
"Rollins, Inc.",ROL,0.34%
"Huntington Ingalls Industries, Inc.",HII,0.31%
Allegion Public Limited Company,ALLE,0.3%
"Dayforce, Inc.",DAY,0.28%
A. O. Smith Corporation,AOS,0.28%
American Airlines Group Inc.,AAL,0.25%
"Paycom Software, Inc.",PAYC,0.24%
Robert Half Inc.,RHI,0.23%
"C.H. Robinson Worldwide, Inc.",CHRW,0.22%
Generac Holdings Inc.,GNRC,0.19%
State Street Institutional Liquid Reserves Fund,SSIXX,0.1%
U.S. Dollar,Other,0.0%
