XLK: Technology Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	64105900
Shares Outstanding: 309306000
Expense Ratio: 0.09%
Tracks This Index: S&P Technology Select Sector Index
ETF Database Category: Technology Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLK


Holding,Symbol,Weighting
Microsoft Corporation,MSFT,22.46%
Apple Inc.,AAPL,18.05%
NVIDIA Corporation,NVDA,7.46%
Broadcom Inc.,AVGO,5.61%
"Advanced Micro Devices, Inc.",AMD,3.39%
"Salesforce, Inc.",CRM,3.0%
Adobe Inc.,ADBE,2.54%
Accenture Plc Class A,ACN,2.4%
"Cisco Systems, Inc.",CSCO,2.03%
QUALCOMM Incorporated,QCOM,1.92%
Intel Corporation,INTC,1.88%
Intuit Inc.,INTU,1.85%
Oracle Corporation,ORCL,1.81%
International Business Machines Corporation,IBM,1.81%
"Applied Materials, Inc.",AMAT,1.74%
Texas Instruments Incorporated,TXN,1.58%
"ServiceNow, Inc.",NOW,1.57%
Lam Research Corporation,LRCX,1.27%
"Micron Technology, Inc.",MU,1.08%
"Analog Devices, Inc.",ADI,0.99%
KLA Corporation,KLAC,0.96%
"Synopsys, Inc.",SNPS,0.88%
"Palo Alto Networks, Inc.",PANW,0.88%
"Cadence Design Systems, Inc.",CDNS,0.85%
"Arista Networks, Inc.",ANET,0.7%
Amphenol Corporation Class A,APH,0.67%
NXP Semiconductors NV,NXPI,0.66%
"Roper Technologies, Inc.",ROP,0.59%
"Motorola Solutions, Inc.",MSI,0.56%
"Autodesk, Inc.",ADSK,0.54%
Microchip Technology Incorporated,MCHP,0.49%
"Fortinet, Inc.",FTNT,0.46%
TE Connectivity Ltd.,TEL,0.44%
Cognizant Technology Solutions Corporation Class A,CTSH,0.39%
"Gartner, Inc.",IT,0.37%
"Monolithic Power Systems, Inc.",MPWR,0.35%
ON Semiconductor Corporation,ON,0.34%
CDW Corporation,CDW,0.34%
Fair Isaac Corporation,FICO,0.32%
"ANSYS, Inc.",ANSS,0.29%
Keysight Technologies Inc,KEYS,0.28%
HP Inc.,HPQ,0.27%
Corning Inc,GLW,0.25%
Hewlett Packard Enterprise Co.,HPE,0.23%
PTC Inc.,PTC,0.22%
"NetApp, Inc.",NTAP,0.22%
Western Digital Corporation,WDC,0.21%
Jabil Inc.,JBL,0.2%
Teledyne Technologies Incorporated,TDY,0.2%
Seagate Technology Holdings PLC,STX,0.18%
"EPAM Systems, Inc.",EPAM,0.18%
"Tyler Technologies, Inc.",TYL,0.18%
"Enphase Energy, Inc.",ENPH,0.18%
"First Solar, Inc.",FSLR,0.17%
"Skyworks Solutions, Inc.",SWKS,0.17%
"VeriSign, Inc.",VRSN,0.17%
"Akamai Technologies, Inc.",AKAM,0.17%
"Teradyne, Inc.",TER,0.16%
Trimble Inc.,TRMB,0.16%
Zebra Technologies Corporation Class A,ZBRA,0.15%
Gen Digital Inc.,GEN,0.13%
"F5, Inc.",FFIV,0.12%
"Juniper Networks, Inc.",JNPR,0.12%
"Qorvo, Inc.",QRVO,0.11%
State Street Institutional Liquid Reserves Fund,SSIXX,0.05%
U.S. Dollar,Other,-0.01%
