XLP: Consumer Staples Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	15288800
Shares Outstanding: 203472000
Expense Ratio: 0.09%
Tracks This Index: S&P Consumer Staples Select Sector Index
ETF Database Category: Consumer Staples Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLP


Holding,Symbol,Weighting
Procter & Gamble Company,PG,14.72%
Costco Wholesale Corporation,COST,12.51%
Coca-Cola Company,KO,9.02%
"PepsiCo, Inc.",PEP,8.73%
Walmart Inc.,WMT,5.01%
Philip Morris International Inc.,PM,4.25%
"Mondelez International, Inc. Class A",MDLZ,4.24%
Target Corporation,TGT,3.51%
"Altria Group, Inc.",MO,3.32%
Colgate-Palmolive Company,CL,3.25%
Monster Beverage Corporation,MNST,1.96%
Kimberly-Clark Corporation,KMB,1.9%
"Constellation Brands, Inc. Class A",STZ,1.87%
Sysco Corporation,SYY,1.82%
"General Mills, Inc.",GIS,1.7%
Kroger Co.,KR,1.66%
Estee Lauder Companies Inc. Class A,EL,1.56%
Dollar General Corporation,DG,1.55%
"Kenvue, Inc.",KVUE,1.55%
"Dollar Tree, Inc.",DLTR,1.39%
Keurig Dr Pepper Inc.,KDP,1.36%
Hershey Company,HSY,1.31%
Archer-Daniels-Midland Company,ADM,1.31%
Kraft Heinz Company,KHC,1.24%
"Church & Dwight Co., Inc.",CHD,1.15%
Clorox Company,CLX,0.86%
"McCormick & Company, Incorporated",MKC,0.77%
"Tyson Foods, Inc. Class A",TSN,0.69%
"Walgreens Boots Alliance, Inc.",WBA,0.68%
"Lamb Weston Holdings, Inc.",LW,0.66%
Kellanova,K,0.64%
"Conagra Brands, Inc.",CAG,0.6%
Bunge Global SA,BG,0.6%
J.M. Smucker Company,SJM,0.57%
Molson Coors Beverage Company Class B,TAP,0.54%
Brown-Forman Corporation Class B,BF.B,0.45%
Hormel Foods Corporation,HRL,0.44%
Campbell Soup Company,CPB,0.37%
State Street Institutional Liquid Reserves Fund,SSIXX,0.26%
