XLRE: Real Estate Select Sector SPDR Fund
Inception Date: 2015-10-07
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	6066450
Shares Outstanding: 151050000
Expense Ratio: 0.09%
Tracks This Index: S&P Real Estate Select Sector
ETF Database Category: Real Estate
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLRE


Holding,Symbol,Weighting
"Prologis, Inc.",PLD,12.25%
American Tower Corporation,AMT,9.49%
"Equinix, Inc.",EQIX,8.39%
Welltower Inc.,WELL,5.0%
"Simon Property Group, Inc.",SPG,4.83%
Crown Castle Inc.,CCI,4.81%
Public Storage,PSA,4.55%
"Digital Realty Trust, Inc.",DLR,4.44%
Realty Income Corporation,O,4.32%
"CoStar Group, Inc.",CSGP,3.45%
Extra Space Storage Inc.,EXR,3.12%
VICI Properties Inc,VICI,2.96%
"CBRE Group, Inc. Class A",CBRE,2.82%
"AvalonBay Communities, Inc.",AVB,2.61%
Weyerhaeuser Company,WY,2.5%
SBA Communications Corp. Class A,SBAC,2.37%
"Iron Mountain, Inc.",IRM,2.33%
Equity Residential,EQR,2.15%
"Invitation Homes, Inc.",INVH,1.98%
"Alexandria Real Estate Equities, Inc.",ARE,1.95%
"Ventas, Inc.",VTR,1.75%
"Essex Property Trust, Inc.",ESS,1.55%
"Mid-America Apartment Communities, Inc.",MAA,1.55%
"Host Hotels & Resorts, Inc.",HST,1.45%
Kimco Realty Corporation,KIM,1.27%
"Healthpeak Properties, Inc.",DOC,1.23%
"UDR, Inc.",UDR,1.13%
Camden Property Trust,CPT,1.06%
Regency Centers Corporation,REG,1.0%
"Boston Properties, Inc.",BXP,0.91%
Federal Realty Investment Trust,FRT,0.74%
State Street Institutional Liquid Reserves Fund,SSIXX,0.04%
U.S. Dollar,Other,0.01%
