XLU: Utilities Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	12291900
Shares Outstanding: 192874000
Expense Ratio: 0.09%
Tracks This Index: S&P Utilities Select Sector Index
ETF Database Category: Utilities Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLU


Holding,Symbol,Weighting
"NextEra Energy, Inc.",NEE,12.68%
Southern Company,SO,8.04%
Duke Energy Corporation,DUK,7.82%
Constellation Energy Corporation,CEG,5.82%
Sempra,SRE,4.78%
"American Electric Power Company, Inc.",AEP,4.71%
Dominion Energy Inc,D,4.29%
Exelon Corporation,EXC,3.93%
PG&E Corporation,PCG,3.78%
Public Service Enterprise Group Inc,PEG,3.42%
"Consolidated Edison, Inc.",ED,3.33%
Xcel Energy Inc.,XEL,3.01%
Edison International,EIX,2.84%
WEC Energy Group Inc,WEC,2.75%
DTE Energy Company,DTE,2.49%
"American Water Works Company, Inc.",AWK,2.46%
Entergy Corporation,ETR,2.34%
Eversource Energy,ES,2.24%
PPL Corporation,PPL,2.14%
FirstEnergy Corp.,FE,2.1%
Ameren Corporation,AEE,2.05%
"CenterPoint Energy, Inc.",CNP,1.91%
CMS Energy Corporation,CMS,1.88%
Atmos Energy Corporation,ATO,1.84%
"NRG Energy, Inc.",NRG,1.47%
Alliant Energy Corp,LNT,1.35%
"Evergy, Inc.",EVRG,1.27%
NiSource Inc,NI,1.19%
AES Corporation,AES,1.16%
Pinnacle West Capital Corporation,PNW,0.87%
State Street Institutional Liquid Reserves Fund,SSIXX,0.04%
