XLV: Health Care Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2024-03-08
Total Assets Under Management (in thousands):	41263200
Shares Outstanding: 281815000
Expense Ratio: 0.09%
Tracks This Index: Health Care Select Sector
ETF Database Category: Health & Biotech Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLV


Holding,Symbol,Weighting
Eli Lilly and Company,LLY,11.21%
UnitedHealth Group Incorporated,UNH,8.13%
Johnson & Johnson,JNJ,7.08%
"AbbVie, Inc.",ABBV,5.83%
"Merck & Co., Inc.",MRK,5.77%
Thermo Fisher Scientific Inc.,TMO,4.26%
Abbott Laboratories,ABT,3.87%
Danaher Corporation,DHR,3.08%
Pfizer Inc.,PFE,2.84%
Amgen Inc.,AMGN,2.7%
"Intuitive Surgical, Inc.",ISRG,2.55%
Stryker Corporation,SYK,2.23%
"Elevance Health, Inc.",ELV,2.18%
Medtronic Plc,MDT,2.09%
Bristol-Myers Squibb Company,BMY,2.02%
Vertex Pharmaceuticals Incorporated,VRTX,1.97%
"Regeneron Pharmaceuticals, Inc.",REGN,1.91%
Cigna Group,CI,1.85%
Boston Scientific Corporation,BSX,1.83%
CVS Health Corporation,CVS,1.78%
"Gilead Sciences, Inc.",GILD,1.73%
"Zoetis, Inc. Class A",ZTS,1.54%
McKesson Corporation,MCK,1.29%
"Becton, Dickinson and Company",BDX,1.28%
HCA Healthcare Inc,HCA,1.19%
Edwards Lifesciences Corporation,EW,1.03%
"DexCom, Inc.",DXCM,0.96%
IQVIA Holdings Inc,IQV,0.87%
"IDEXX Laboratories, Inc.",IDXX,0.86%
"Agilent Technologies, Inc.",A,0.8%
Centene Corporation,CNC,0.77%
Humana Inc.,HUM,0.77%
"Cencora, Inc.",COR,0.73%
GE Healthcare Technologies Inc.,GEHC,0.7%
"Moderna, Inc.",MRNA,0.63%
Biogen Inc.,BIIB,0.6%
Mettler-Toledo International Inc.,MTD,0.53%
"Cardinal Health, Inc.",CAH,0.52%
ResMed Inc.,RMD,0.51%
"Zimmer Biomet Holdings, Inc.",ZBH,0.49%
"West Pharmaceutical Services, Inc.",WST,0.49%
STERIS plc,STE,0.43%
"Molina Healthcare, Inc.",MOH,0.42%
"Align Technology, Inc.",ALGN,0.41%
Baxter International Inc.,BAX,0.41%
"Illumina, Inc.",ILMN,0.4%
Waters Corporation,WAT,0.39%
"Cooper Companies, Inc.",COO,0.37%
"Hologic, Inc.",HOLX,0.35%
Laboratory Corporation of America Holdings,LH,0.34%
"Viatris, Inc.",VTRS,0.27%
Quest Diagnostics Incorporated,DGX,0.26%
"Revvity, Inc.",RVTY,0.25%
"Charles River Laboratories International, Inc.",CRL,0.25%
Insulet Corporation,PODD,0.23%
Bio-Techne Corporation,TECH,0.22%
Incyte Corporation,INCY,0.21%
"Universal Health Services, Inc. Class B",UHS,0.2%
Catalent Inc,CTLT,0.19%
Teleflex Incorporated,TFX,0.19%
"Henry Schein, Inc.",HSIC,0.18%
State Street Institutional Liquid Reserves Fund,SSIXX,0.16%
DaVita Inc.,DVA,0.13%
"DENTSPLY SIRONA, Inc.",XRAY,0.13%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.13%
