XME: SPDR S&P Metals & Mining ETF
Inception Date: 2006-06-19
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	1603150
Shares Outstanding: 28850000
Expense Ratio: 0.35%
Tracks This Index: S&P Metals & Mining Select Industry Index
ETF Database Category: Materials
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XME


Holding,Symbol,Weighting
United States Steel Corporation,X,5.59%
ATI Inc.,ATI,5.16%
"Reliance, Inc.",RS,5.13%
"Alpha Metallurgical Resources, Inc.",AMR,5.12%
Nucor Corporation,NUE,5.01%
Commercial Metals Company,CMC,5.0%
"Steel Dynamics, Inc.",STLD,4.94%
Cleveland-Cliffs Inc,CLF,4.93%
Alcoa Corporation,AA,4.44%
Peabody Energy Corporation,BTU,4.41%
"Arch Resources, Inc. Class A",ARCH,4.17%
Carpenter Technology Corporation,CRS,4.15%
"Freeport-McMoRan, Inc.",FCX,4.14%
Uranium Energy Corp.,UEC,3.98%
MP Materials Corp Class A,MP,3.84%
"Royal Gold, Inc.",RGLD,3.61%
CONSOL Energy Inc,CEIX,3.41%
Newmont Corporation,NEM,3.22%
Hecla Mining Company,HL,3.08%
"Coeur Mining, Inc.",CDE,2.08%
Century Aluminum Company,CENX,1.8%
Materion Corporation,MTRN,1.72%
Ryerson Holding Corporation,RYI,1.61%
"Compass Minerals International, Inc.",CMP,1.55%
Kaiser Aluminum Corporation,KALU,1.25%
"SunCoke Energy, Inc.",SXC,1.2%
Piedmont Lithium Inc,PLL,1.06%
"Worthington Steel, Inc.",WS,1.01%
Metallus Inc.,MTUS,0.83%
"Olympic Steel, Inc.",ZEUS,0.76%
"Ramaco Resources, Inc. Class A",METC,0.76%
"Radius Recycling, Inc. Class A",RDUS,0.59%
"Haynes International, Inc.",HAYN,0.41%
State Street Institutional Liquid Reserves Fund,SSIXX,0.05%
