CLOU: Global X Cloud Computing ETF
Inception Date: 2019-04-12
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	615502
Shares Outstanding: 28312000
Expense Ratio: 0.68%
Tracks This Index: Indxx Global Cloud Computing Index
ETF Database Category: Technology Equities
"Issuer: Mirae Asset Global Investments Co., Ltd."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CLOU


Holding,Symbol,Weighting
Wix.com Ltd.,WIX,5.64%
Procore Technologies Inc,PCOR,5.03%
"DigitalOcean Holdings, Inc.",DOCN,4.95%
"Zscaler, Inc.",ZS,4.91%
"Salesforce, Inc.",CRM,4.75%
"Netflix, Inc.",NFLX,4.63%
"Workday, Inc. Class A",WDAY,4.57%
"Shopify, Inc. Class A",SHOP,4.17%
"Twilio, Inc. Class A",TWLO,3.77%
"Zoom Video Communications, Inc. Class A",ZM,3.74%
"SPS Commerce, Inc.",SPSC,3.72%
"Paycom Software, Inc.",PAYC,3.72%
"Freshworks, Inc. Class A",FRSH,3.63%
"Qualys, Inc.",QLYS,3.61%
"Digital Realty Trust, Inc.",DLR,3.61%
"Five9, Inc.",FIVN,3.54%
"Akamai Technologies, Inc.",AKAM,3.39%
"Box, Inc. Class A",BOX,3.33%
Sinch AB,SINCH,3.25%
Workiva Inc. Class A,WK,3.19%
"Dropbox, Inc. Class A",DBX,2.97%
"Fastly, Inc. Class A",FSLY,2.72%
"Amazon.com, Inc.",AMZN,2.06%
Microsoft Corporation,MSFT,1.93%
"Everbridge, Inc.",EVBG,1.71%
Alphabet Inc. Class A,GOOGL,1.35%
"HealthStream, Inc.",HSTM,1.22%
"PubMatic, Inc. Class A",PUBM,1.22%
"Yext, Inc.",YEXT,1.1%
"Vimeo, Inc.",VMEO,1.07%
"VNET Group, Inc. Sponsored ADR",VNET,0.33%
Alibaba Group Holding Limited Sponsored ADR,BABA,0.31%
International Business Machines Corporation,IBM,0.31%
Digital Core REIT,DCRU,0.26%
Kingsoft Cloud Holdings Ltd. Sponsored ADR,KC,0.14%
U.S. Dollar,Other,0.06%
"2U, Inc.",TWOU,0.05%
