HACK: Amplify Cybersecurity ETF
Inception Date: 2014-11-11
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	1818560
Shares Outstanding: 28300000
Expense Ratio: 0.6%
Tracks This Index: Nasdaq ISE Cyber Security Select Index - Benchmark TR Net
ETF Database Category: Technology Equities
Issuer: Amplify Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HACK


Holding,Symbol,Weighting
Broadcom Inc.,AVGO,10.75%
"Cisco Systems, Inc.",CSCO,6.64%
"CrowdStrike Holdings, Inc. Class A",CRWD,6.46%
"Palo Alto Networks, Inc.",PANW,5.92%
"Fortinet, Inc.",FTNT,5.54%
General Dynamics Corporation,GD,5.47%
Northrop Grumman Corp.,NOC,4.86%
Cloudflare Inc Class A,NET,4.49%
"Zscaler, Inc.",ZS,4.26%
"Leidos Holdings, Inc.",LDOS,3.9%
Booz Allen Hamilton Holding Corporation Class A,BAH,3.9%
"Okta, Inc. Class A",OKTA,3.89%
CyberArk Software Ltd.,CYBR,3.74%
Check Point Software Technologies Ltd.,CHKP,3.63%
"SentinelOne, Inc. Class A",S,3.61%
"F5, Inc.",FFIV,3.15%
Gen Digital Inc.,GEN,3.07%
"Varonis Systems, Inc.",VRNS,2.86%
"Tenable Holdings, Inc.",TENB,2.71%
Trend Micro Incorporated,4704,2.6%
"Qualys, Inc.",QLYS,2.37%
Rapid7 Inc.,RPD,2.3%
Darktrace PLC,DARK,2.05%
"Fastly, Inc. Class A",FSLY,1.59%
U.S. Dollar,Other,0.19%
First American Funds Inc X Government Obligations Fund,FGXXX,0.03%
