IGV: iShares Expanded Tech-Software Sector ETF
Inception Date: 2001-07-10
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	7618770
Shares Outstanding: 17850000
Expense Ratio: 0.41%
Tracks This Index: S&P North American Technology-Software Index
ETF Database Category: Technology Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IGV


Holding,Symbol,Weighting
"Salesforce, Inc.",CRM,9.55%
Microsoft Corporation,MSFT,8.58%
Intuit Inc.,INTU,7.53%
Oracle Corporation,ORCL,7.2%
Adobe Inc.,ADBE,7.08%
"ServiceNow, Inc.",NOW,4.57%
"Palo Alto Networks, Inc.",PANW,4.05%
"Synopsys, Inc.",SNPS,3.66%
"Cadence Design Systems, Inc.",CDNS,3.47%
"CrowdStrike Holdings, Inc. Class A",CRWD,3.07%
"Workday, Inc. Class A",WDAY,2.56%
"Roper Technologies, Inc.",ROP,2.44%
"Autodesk, Inc.",ADSK,2.31%
Palantir Technologies Inc. Class A,PLTR,2.02%
"Fortinet, Inc.",FTNT,1.85%
Datadog Inc Class A,DDOG,1.67%
Electronic Arts Inc.,EA,1.43%
Atlassian Corp Class A,TEAM,1.35%
Fair Isaac Corporation,FICO,1.32%
"HubSpot, Inc.",HUBS,1.31%
"ANSYS, Inc.",ANSS,1.22%
Splunk Inc.,SPLK,1.02%
"Take-Two Interactive Software, Inc.",TTWO,0.97%
PTC Inc.,PTC,0.91%
"Zscaler, Inc.",ZS,0.9%
"Tyler Technologies, Inc.",TYL,0.77%
"Zoom Video Communications, Inc. Class A",ZM,0.75%
"Manhattan Associates, Inc.",MANH,0.65%
"Nutanix, Inc. Class A",NTNX,0.64%
MicroStrategy Incorporated Class A,MSTR,0.54%
Gen Digital Inc.,GEN,0.51%
"Bentley Systems, Incorporated Class B",BSY,0.5%
"Dynatrace, Inc.",DT,0.5%
"Snap, Inc. Class A",SNAP,0.48%
Elastic NV,ESTC,0.45%
"DocuSign, Inc.",DOCU,0.45%
Open Text Corporation,OTEX,0.44%
"UiPath, Inc. Class A",PATH,0.41%
"Guidewire Software, Inc.",GWRE,0.41%
AppLovin Corp. Class A,APP,0.32%
Descartes Systems Group Inc.,DSG,0.31%
Confluent Inc Class A,CFLT,0.31%
Procore Technologies Inc,PCOR,0.29%
"SPS Commerce, Inc.",SPSC,0.29%
"SentinelOne, Inc. Class A",S,0.29%
"Unity Software, Inc.",U,0.29%
