IWM: iShares Russell 2000 ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	61920400
Shares Outstanding: 306000000
Expense Ratio: 0.19%
Tracks This Index: Russell 2000 Index
ETF Database Category: Small Cap Blend Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IWM


Holding,Symbol,Weighting
"Super Micro Computer, Inc.",SMCI,1.56%
MicroStrategy Incorporated Class A,MSTR,0.49%
"e.l.f. Beauty, Inc.",ELF,0.44%
"Comfort Systems USA, Inc.",FIX,0.42%
"Light & Wonder, Inc.",LNW,0.36%
"Simpson Manufacturing Co., Inc.",SSD,0.35%
"Onto Innovation, Inc.",ONTO,0.35%
Fabrinet,FN,0.31%
"Vaxcyte, Inc.",PCVX,0.3%
"Viking Therapeutics, Inc.",VKTX,0.29%
"BellRing Brands, Inc.",BRBR,0.29%
"Applied Industrial Technologies, Inc.",AIT,0.28%
Weatherford International plc,WFRD,0.28%
Nextracker Inc. Class A,NXT,0.28%
APi Group Corporation,APG,0.28%
Matador Resources Company,MTDR,0.28%
Carvana Co. Class A,CVNA,0.28%
HealthEquity Inc,HQY,0.27%
"Duolingo, Inc. Class A",DUOL,0.27%
"UFP Industries, Inc.",UFPI,0.27%
"Ryman Hospitality Properties, Inc.",RHP,0.27%
Chord Energy Corporation,CHRD,0.27%
"Ensign Group, Inc.",ENSG,0.26%
"SPS Commerce, Inc.",SPSC,0.26%
"Cytokinetics, Incorporated",CYTK,0.26%
SouthState Corporation,SSB,0.25%
"Sprouts Farmers Market, Inc.",SFM,0.25%
"Qualys, Inc.",QLYS,0.25%
"Selective Insurance Group, Inc.",SIGI,0.25%
Atkore Inc,ATKR,0.25%
ATI Inc.,ATI,0.25%
"Intra-Cellular Therapies, Inc.",ITCI,0.25%
Commercial Metals Company,CMC,0.25%
Rambus Inc.,RMBS,0.25%
"Chart Industries, Inc.",GTLS,0.24%
Novanta Inc,NOVT,0.24%
ChampionX Corporation,CHX,0.24%
Abercrombie & Fitch Co. Class A,ANF,0.24%
Permian Resources Corporation Class A,PR,0.24%
Taylor Morrison Home Corporation,TMHC,0.23%
Murphy Oil Corporation,MUR,0.23%
"Civitas Resources, Inc.",CIVI,0.22%
Blueprint Medicines Corp.,BPMC,0.22%
"Installed Building Products, Inc.",IBP,0.22%
Essent Group Ltd.,ESNT,0.22%
"Watts Water Technologies, Inc. Class A",WTS,0.22%
"Mueller Industries, Inc.",MLI,0.22%
Meritage Homes Corporation,MTH,0.22%
"AAON, Inc.",AAON,0.22%
Arcadium Lithium Plc,ALTM,0.22%
"Varonis Systems, Inc.",VRNS,0.22%
FTAI Aviation Ltd.,FTAI,0.22%
U.S. Dollar,Other,0.21%
"Tenable Holdings, Inc.",TENB,0.21%
Boise Cascade Co.,BCC,0.21%
"Academy Sports and Outdoors, Inc.",ASO,0.21%
"Beacon Roofing Supply, Inc.",BECN,0.21%
"Insight Enterprises, Inc.",NSIT,0.21%
Terreno Realty Corporation,TRNO,0.21%
Option Care Health Inc,OPCH,0.21%
Marathon Digital Holdings Inc,MARA,0.21%
"MAXIMUS, Inc.",MMS,0.2%
SM Energy Company,SM,0.2%
"SPX Technologies, Inc.",SPXC,0.2%
"PBF Energy, Inc. Class A",PBF,0.2%
"Summit Materials, Inc. Class A",SUM,0.2%
"ExlService Holdings, Inc.",EXLS,0.2%
StoneCo Ltd. Class A,STNE,0.2%
Fluor Corporation,FLR,0.2%
"Halozyme Therapeutics, Inc.",HALO,0.2%
"Casella Waste Systems, Inc. Class A",CWST,0.2%
Old National Bancorp,ONB,0.19%
"MACOM Technology Solutions Holdings, Inc.",MTSI,0.19%
Balchem Corp,BCPC,0.19%
Federal Signal Corporation,FSS,0.19%
Alkermes Public Limited Company,ALKS,0.19%
"Home BancShares, Inc.",HOMB,0.18%
Modine Manufacturing Company,MOD,0.18%
"United Bankshares, Inc.",UBSI,0.18%
KB Home,KBH,0.18%
"Franklin Electric Co., Inc.",FELE,0.18%
"Mr. Cooper Group, Inc.",COOP,0.18%
AppFolio Inc Class A,APPF,0.18%
Signet Jewelers Limited,SIG,0.18%
Equitrans Midstream Corporation,ETRN,0.18%
Zurn Elkay Water Solutions Corporation,ZWS,0.18%
Noble Corporation PLC Class A,NOBLE,0.18%
Kite Realty Group Trust,KRG,0.18%
ASGN Incorporated,ASGN,0.18%
"Badger Meter, Inc.",BMI,0.18%
Cabot Corporation,CBT,0.18%
Altair Engineering Inc. Class A,ALTR,0.18%
Skyline Champion Corp.,SKY,0.17%
Workiva Inc. Class A,WK,0.17%
"American Eagle Outfitters, Inc.",AEO,0.17%
Moog Inc. Class A,MOG.A,0.17%
Hamilton Lane Incorporated Class A,HLNE,0.17%
"Alpha Metallurgical Resources, Inc.",AMR,0.17%
Cadence Bank,CADE,0.17%
"Herc Holdings, Inc.",HRI,0.17%
"Merit Medical Systems, Inc.",MMSI,0.17%
Silicon Laboratories Inc.,SLAB,0.17%
Lantheus Holdings Inc,LNTH,0.17%
GATX Corporation,GATX,0.17%
"Glacier Bancorp, Inc.",GBCI,0.17%
"Asbury Automotive Group, Inc.",ABG,0.17%
"Southwest Gas Holdings, Inc.",SWX,0.17%
American Equity Investment Life Holding Company,AEL,0.17%
H.B. Fuller Company,FUL,0.17%
"FirstCash Holdings, Inc.",FCFS,0.17%
"Arcosa, Inc.",ACA,0.16%
"Revolution Medicines, Inc.",RVMD,0.16%
"Phillips Edison & Company, Inc.",PECO,0.16%
