IYT: iShares US Transportation ETF
Inception Date: 2003-10-06
Fund Holdings as of: 2024-03-04
Total Assets Under Management (in thousands):	1015070
Shares Outstanding: 3600000
Expense Ratio: 0.4%
Tracks This Index: S&P Transportation Select Industry FMC Capped Index
ETF Database Category: Transportation Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYT


Holding,Symbol,Weighting
"Uber Technologies, Inc.",UBER,18.9%
Union Pacific Corporation,UNP,17.45%
"United Parcel Service, Inc. Class B",UPS,9.94%
"Old Dominion Freight Line, Inc.",ODFL,4.81%
CSX Corporation,CSX,4.6%
Norfolk Southern Corporation,NSC,4.57%
"Delta Air Lines, Inc.",DAL,4.29%
FedEx Corporation,FDX,3.71%
Southwest Airlines Co.,LUV,3.37%
"Expeditors International of Washington, Inc.",EXPD,2.89%
"J.B. Hunt Transport Services, Inc.",JBHT,2.72%
"Saia, Inc.",SAIA,2.57%
"United Airlines Holdings, Inc.",UAL,2.4%
"XPO, Inc.",XPO,2.33%
American Airlines Group Inc.,AAL,1.6%
Knight-Swift Transportation Holdings Inc. Class A,KNX,1.46%
"C.H. Robinson Worldwide, Inc.",CHRW,1.36%
"Landstar System, Inc.",LSTR,1.1%
GXO Logistics Inc,GXO,0.98%
"Lyft, Inc. Class A",LYFT,0.98%
Kirby Corporation,KEX,0.88%
"Ryder System, Inc.",R,0.83%
"Alaska Air Group, Inc.",ALK,0.78%
"Matson, Inc.",MATX,0.63%
ArcBest Corporation,ARCB,0.56%
"SkyWest, Inc",SKYW,0.44%
"Hub Group, Inc. Class A",HUBG,0.44%
"Werner Enterprises, Inc.",WERN,0.4%
"RXO, Inc.",RXO,0.39%
JetBlue Airways Corporation,JBLU,0.38%
"Joby Aviation, Inc.",JOBY,0.33%
"Avis Budget Group, Inc.",CAR,0.33%
"Marten Transport, Ltd.",MRTN,0.18%
Allegiant Travel Company,ALGT,0.18%
Hertz Global Holdings Inc,HTZ,0.16%
Genco Shipping & Trading Ltd,GNK,0.14%
"Schneider National, Inc. Class B",SNDR,0.14%
Forward Air Corporation,FWRD,0.14%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.13%
"Air Transport Services Group, Inc.",ATSG,0.11%
"Spirit Airlines, Inc.",SAVE,0.1%
U-Haul Holding Company,UHAL,0.1%
"Sun Country Airlines Holdings, Inc.",SNCY,0.1%
"Heartland Express, Inc.",HTLD,0.09%
U.S. Dollar,Other,0.01%
