SMH: VanEck Semiconductor ETF
Inception Date: 2000-05-05
Fund Holdings as of: 2024-02-28
Total Assets Under Management (in thousands):	15925100
Shares Outstanding: 76791000
Expense Ratio: 0.35%
Tracks This Index: MVIS US Listed Semiconductor 25
ETF Database Category: Technology Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SMH


Holding,Symbol,Weighting
NVIDIA Corporation,NVDA,25.79%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,9.35%
Broadcom Inc.,AVGO,5.92%
"Advanced Micro Devices, Inc.",AMD,5.71%
ASML Holding NV ADR,ASML,5.13%
"Applied Materials, Inc.",AMAT,4.64%
Lam Research Corporation,LRCX,4.51%
QUALCOMM Incorporated,QCOM,4.08%
Intel Corporation,INTC,3.84%
Texas Instruments Incorporated,TXN,3.55%
"Analog Devices, Inc.",ADI,3.53%
KLA Corporation,KLAC,3.51%
"Micron Technology, Inc.",MU,3.46%
"Synopsys, Inc.",SNPS,3.41%
"Cadence Design Systems, Inc.",CDNS,3.06%
NXP Semiconductors NV,NXPI,2.12%
"Marvell Technology, Inc.",MRVL,1.72%
Microchip Technology Incorporated,MCHP,1.64%
STMicroelectronics NV ADR RegS,STM,1.11%
"Monolithic Power Systems, Inc.",MPWR,1.07%
ON Semiconductor Corporation,ON,1.02%
"Skyworks Solutions, Inc.",SWKS,0.61%
"Teradyne, Inc.",TER,0.48%
"Qorvo, Inc.",QRVO,0.4%
Universal Display Corporation,OLED,0.29%
U.S. Dollar,Other,0.04%
