TAN: Invesco Solar ETF
Inception Date: 2008-04-15
Fund Holdings as of: 2024-02-29
Total Assets Under Management (in thousands):	1251230
Shares Outstanding: 29688000
Expense Ratio: 0.67%
Tracks This Index: MAC Global Solar Energy Index
ETF Database Category: Alternative Energy Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TAN


Holding,Symbol,Weighting
"Enphase Energy, Inc.",ENPH,13.17%
"First Solar, Inc.",FSLR,11.31%
"SolarEdge Technologies, Inc.",SEDG,7.53%
Xinyi Solar Holdings Ltd.,968,5.78%
GCL Technology Holdings Limited,3800,5.51%
Sunrun Inc.,RUN,4.8%
"Shoals Technologies Group, Inc. Class A",SHLS,4.77%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,4.68%
Array Technologies Inc,ARRY,3.93%
Encavis AG,ECV,2.74%
Daqo New Energy Corp Sponsored ADR,DQ,2.58%
HANWHA SOLUTIONS CORPORATION,009830,2.44%
"JinkoSolar Holding Co., Ltd. Sponsored ADR",JKS,2.29%
Canadian Solar Inc.,CSIQ,2.2%
Enlight Renewable Energy Ltd,ENLT,2.01%
SMA Solar Technology AG,S92,1.99%
"Solaria Energia y Medio Ambiente, S.A.",SLR,1.97%
Neoen SA,NEOEN,1.92%
"Clearway Energy, Inc. Class C",CWEN,1.89%
Sunnova Energy International Inc,NOVA,1.82%
"Flat Glass Group Co., Ltd. Class H",6865,1.67%
Atlantica Sustainable Infrastructure plc,AY,1.27%
"United Renewable Energy Co., Ltd.",3576,1.19%
Energix-Renewable Energies Ltd.,ENRG,1.04%
West Holdings Corporation,1407,1.01%
TSEC Corporation,6443,0.98%
"Altus Power, Inc. Class A",AMPS,0.91%
O.Y. NOFAR ENERGY LTD,NOFR,0.89%
Grenergy Renovables S.A,GRE,0.86%
"Motech Industries, Inc.",6244,0.76%
Scatec ASA,SCATC,0.75%
Xinyi Energy Holdings Limited,3868,0.64%
SunPower Corporation,SPWR,0.59%
ReNew Energy Global plc Class A,RNW,0.58%
Meyer Burger Technology AG,MBTN,0.44%
"RENOVA, Inc.",9519,0.37%
DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,DORL,0.35%
"Maxeon Solar Technologies, Ltd.",MAXN,0.34%
U.S. Dollar,Other,0.03%
