Holding,Symbol,ETF,Weighting
Linde plc,LIN,XLB,22.32%
Sherwin-Williams Company,SHW,XLB,7.98%
"Freeport-McMoRan, Inc.",FCX,XLB,5.69%
Ecolab Inc.,ECL,XLB,5.64%
"Air Products and Chemicals, Inc.",APD,XLB,5.34%
Nucor Corporation,NUE,XLB,4.58%
"Dow, Inc.",DOW,XLB,3.98%
Corteva Inc,CTVA,XLB,3.87%
"Martin Marietta Materials, Inc.",MLM,XLB,3.70%
Newmont Corporation,NEM,XLB,3.57%
Vulcan Materials Company,VMC,XLB,3.56%
"PPG Industries, Inc.",PPG,XLB,3.33%
"DuPont de Nemours, Inc.",DD,XLB,3.08%
LyondellBasell Industries NV,LYB,XLB,2.54%
Ball Corporation,BALL,XLB,2.07%
International Flavors & Fragrances Inc.,IFF,XLB,2.02%
"Steel Dynamics, Inc.",STLD,XLB,2.01%
Avery Dennison Corporation,AVY,XLB,1.74%
Packaging Corporation of America,PKG,XLB,1.67%
"CF Industries Holdings, Inc.",CF,XLB,1.62%
Celanese Corporation,CE,XLB,1.56%
Albemarle Corporation,ALB,XLB,1.39%
Amcor PLC,AMCR,XLB,1.36%
International Paper Company,IP,XLB,1.26%
WestRock Company,WRK,XLB,1.17%
Eastman Chemical Company,EMN,XLB,1.07%
Mosaic Company,MOS,XLB,1.04%
FMC Corporation,FMC,XLB,0.78%
State Street Institutional Liquid Reserves Fund,SSIXX,XLB,0.05%
U.S. Dollar,Other,XLB,0.00%
