Holding;Symbol;Weighting
Meta Platforms Inc Class A;META;30.89%
Alphabet Inc. Class A;GOOGL;11.01%
Alphabet Inc. Class C;GOOG;9.32%
Netflix;NFLX;5.3%
Walt Disney Company;DIS;4.73%
T-Mobile US;TMUS;4.17%
Verizon Communications Inc.;VZ;4.11%
AT&T Inc.;T;4.04%
Comcast Corporation Class A;CMCSA;4.02%
Electronic Arts Inc.;EA;3.92%
Charter Communications;CHTR;3.07%
Take-Two Interactive Software;TTWO;2.8%
Warner Bros. Discovery;WBD;2.38%
Omnicom Group Inc;OMC;2.23%
Live Nation Entertainment;LYV;1.74%
Interpublic Group of Companies;IPG;1.52%
News Corporation Class A;NWSA;1.23%
Match Group;MTCH;1.13%
Fox Corporation Class A;FOXA;0.88%
Paramount Global Class B;PARA;0.65%
Fox Corporation Class B;FOX;0.43%
News Corporation Class B;NWS;0.39%
