Holding;Symbol;Weighting
Exxon Mobil Corporation;XOM;23.19%
Chevron Corporation;CVX;16.94%
ConocoPhillips;COP;8.69%
EOG Resources;EOG;4.47%
Marathon Petroleum Corporation;MPC;4.41%
Schlumberger N.V.;SLB;4.37%
Phillips 66;PSX;4.21%
Pioneer Natural Resources Company;PXD;3.65%
Valero Energy Corporation;VLO;3.28%
ONEOK;OKE;2.88%
Williams Companies;WMB;2.85%
Hess Corporation;HES;2.6%
Occidental Petroleum Corporation;OXY;2.6%
Kinder Morgan Inc Class P;KMI;2.22%
Diamondback Energy;FANG;2.11%
Halliburton Company;HAL;2.1%
Baker Hughes Company Class A;BKR;2.01%
Devon Energy Corporation;DVN;1.91%
Targa Resources Corp.;TRGP;1.49%
Coterra Energy Inc.;CTRA;1.27%
Marathon Oil Corporation;MRO;0.94%
EQT Corporation;EQT;0.91%
APA Corporation;APA;0.61%
