Holding,Symbol,ETF,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,XLF,13.11%
JPMorgan Chase & Co.,JPM,XLF,9.72%
Visa Inc. Class A,V,XLF,7.98%
Mastercard Incorporated Class A,MA,XLF,6.94%
Bank of America Corp,BAC,XLF,4.38%
Wells Fargo & Company,WFC,XLF,3.70%
"S&P Global, Inc.",SPGI,XLF,2.48%
American Express Company,AXP,XLF,2.30%
"Goldman Sachs Group, Inc.",GS,XLF,2.25%
"BlackRock, Inc.",BLK,XLF,2.09%
Progressive Corporation,PGR,XLF,2.07%
Morgan Stanley,MS,XLF,1.97%
Citigroup Inc.,C,XLF,1.97%
Chubb Limited,CB,XLF,1.81%
"Marsh & McLennan Companies, Inc.",MMC,XLF,1.81%
Charles Schwab Corp,SCHW,XLF,1.79%
"Fiserv, Inc.",FI,XLF,1.62%
Blackstone Inc.,BX,XLF,1.60%
"Intercontinental Exchange, Inc.",ICE,XLF,1.42%
CME Group Inc. Class A,CME,XLF,1.37%
U.S. Bancorp,USB,XLF,1.20%
"PayPal Holdings, Inc.",PYPL,XLF,1.14%
Aon Plc Class A,AON,XLF,1.13%
Moody\'s Corporation,MCO,XLF,1.09%
"PNC Financial Services Group, Inc.",PNC,XLF,1.07%
Arthur J. Gallagher & Co.,AJG,XLF,0.97%
Capital One Financial Corp,COF,XLF,0.93%
"American International Group, Inc.",AIG,XLF,0.93%
"Travelers Companies, Inc.",TRV,XLF,0.89%
Truist Financial Corporation,TFC,XLF,0.89%
"MetLife, Inc.",MET,XLF,0.79%
MSCI Inc. Class A,MSCI,XLF,0.78%
Aflac Incorporated,AFL,XLF,0.78%
Bank of New York Mellon Corp,BK,XLF,0.76%
"Fidelity National Information Services, Inc.",FIS,XLF,0.74%
"Ameriprise Financial, Inc.",AMP,XLF,0.74%
Allstate Corporation,ALL,XLF,0.73%
"Prudential Financial, Inc.",PRU,XLF,0.72%
Global Payments Inc.,GPN,XLF,0.60%
Arch Capital Group Ltd.,ACGL,XLF,0.58%
Discover Financial Services,DFS,XLF,0.54%
"Hartford Financial Services Group, Inc.",HIG,XLF,0.52%
Willis Towers Watson Public Limited Company,WTW,XLF,0.51%
T. Rowe Price Group,TROW,XLF,0.47%
Fifth Third Bancorp,FITB,XLF,0.44%
M&T Bank Corporation,MTB,XLF,0.42%
"Raymond James Financial, Inc.",RJF,XLF,0.40%
State Street Corporation,STT,XLF,0.40%
"FLEETCOR Technologies, Inc.",FLT,XLF,0.38%
"Brown & Brown, Inc.",BRO,XLF,0.36%
"Nasdaq, Inc.",NDAQ,XLF,0.36%
Cboe Global Markets Inc,CBOE,XLF,0.35%
Huntington Bancshares Incorporated,HBAN,XLF,0.35%
Regions Financial Corporation,RF,XLF,0.33%
Cincinnati Financial Corporation,CINF,XLF,0.33%
FactSet Research Systems Inc.,FDS,XLF,0.32%
"Principal Financial Group, Inc.",PFG,XLF,0.31%
W. R. Berkley Corporation,WRB,XLF,0.31%
Synchrony Financial,SYF,XLF,0.31%
Northern Trust Corporation,NTRS,XLF,0.30%
"Everest Group, Ltd.",EG,XLF,0.28%
"Citizens Financial Group, Inc.",CFG,XLF,0.28%
KeyCorp,KEY,XLF,0.25%
Loews Corporation,L,XLF,0.25%
"Jack Henry & Associates, Inc.",JKHY,XLF,0.23%
Globe Life Inc.,GL,XLF,0.19%
"Assurant, Inc.",AIZ,XLF,0.17%
State Street Institutional Liquid Reserves Fund,SSIXX,XLF,0.14%
"Franklin Resources, Inc.",BEN,XLF,0.14%
MarketAxess Holdings Inc.,MKTX,XLF,0.14%
Invesco Ltd.,IVZ,XLF,0.13%
Comerica Incorporated,CMA,XLF,0.12%
"Zions Bancorporation, N.A.",ZION,XLF,0.11%
,,,
