Holding,Symbol,ETF,Weighting
Microsoft Corporation,MSFT,XLK,22.46%
Apple Inc.,AAPL,XLK,18.05%
NVIDIA Corporation,NVDA,XLK,7.46%
Broadcom Inc.,AVGO,XLK,5.61%
"Advanced Micro Devices, Inc.",AMD,XLK,3.39%
"Salesforce, Inc.",CRM,XLK,3.00%
Adobe Inc.,ADBE,XLK,2.54%
Accenture Plc Class A,ACN,XLK,2.40%
"Cisco Systems, Inc.",CSCO,XLK,2.03%
QUALCOMM Incorporated,QCOM,XLK,1.92%
Intel Corporation,INTC,XLK,1.88%
Intuit Inc.,INTU,XLK,1.85%
Oracle Corporation,ORCL,XLK,1.81%
International Business Machines Corporation,IBM,XLK,1.81%
"Applied Materials, Inc.",AMAT,XLK,1.74%
Texas Instruments Incorporated,TXN,XLK,1.58%
"ServiceNow, Inc.",NOW,XLK,1.57%
Lam Research Corporation,LRCX,XLK,1.27%
"Micron Technology, Inc.",MU,XLK,1.08%
"Analog Devices, Inc.",ADI,XLK,0.99%
KLA Corporation,KLAC,XLK,0.96%
"Synopsys, Inc.",SNPS,XLK,0.88%
"Palo Alto Networks, Inc.",PANW,XLK,0.88%
"Cadence Design Systems, Inc.",CDNS,XLK,0.85%
"Arista Networks, Inc.",ANET,XLK,0.70%
Amphenol Corporation Class A,APH,XLK,0.67%
NXP Semiconductors NV,NXPI,XLK,0.66%
"Roper Technologies, Inc.",ROP,XLK,0.59%
"Motorola Solutions, Inc.",MSI,XLK,0.56%
"Autodesk, Inc.",ADSK,XLK,0.54%
Microchip Technology Incorporated,MCHP,XLK,0.49%
"Fortinet, Inc.",FTNT,XLK,0.46%
TE Connectivity Ltd.,TEL,XLK,0.44%
Cognizant Technology Solutions Corporation Class A,CTSH,XLK,0.39%
"Gartner, Inc.",IT,XLK,0.37%
"Monolithic Power Systems, Inc.",MPWR,XLK,0.35%
ON Semiconductor Corporation,ON,XLK,0.34%
CDW Corporation,CDW,XLK,0.34%
Fair Isaac Corporation,FICO,XLK,0.32%
"ANSYS, Inc.",ANSS,XLK,0.29%
Keysight Technologies Inc,KEYS,XLK,0.28%
HP Inc.,HPQ,XLK,0.27%
Corning Inc,GLW,XLK,0.25%
Hewlett Packard Enterprise Co.,HPE,XLK,0.23%
PTC Inc.,PTC,XLK,0.22%
"NetApp, Inc.",NTAP,XLK,0.22%
Western Digital Corporation,WDC,XLK,0.21%
Jabil Inc.,JBL,XLK,0.20%
Teledyne Technologies Incorporated,TDY,XLK,0.20%
Seagate Technology Holdings PLC,STX,XLK,0.18%
"EPAM Systems, Inc.",EPAM,XLK,0.18%
"Tyler Technologies, Inc.",TYL,XLK,0.18%
"Enphase Energy, Inc.",ENPH,XLK,0.18%
"First Solar, Inc.",FSLR,XLK,0.17%
"Skyworks Solutions, Inc.",SWKS,XLK,0.17%
"VeriSign, Inc.",VRSN,XLK,0.17%
"Akamai Technologies, Inc.",AKAM,XLK,0.17%
"Teradyne, Inc.",TER,XLK,0.16%
Trimble Inc.,TRMB,XLK,0.16%
Zebra Technologies Corporation Class A,ZBRA,XLK,0.15%
Gen Digital Inc.,GEN,XLK,0.13%
"F5, Inc.",FFIV,XLK,0.12%
"Juniper Networks, Inc.",JNPR,XLK,0.12%
"Qorvo, Inc.",QRVO,XLK,0.11%
,,,
,,,
