Holding,Symbol,ETF,Weighting
Procter & Gamble Company,PG,XLP,14.72%
Costco Wholesale Corporation,COST,XLP,12.51%
Coca-Cola Company,KO,XLP,9.02%
"PepsiCo, Inc.",PEP,XLP,8.73%
Walmart Inc.,WMT,XLP,5.01%
Philip Morris International Inc.,PM,XLP,4.25%
"Mondelez International, Inc. Class A",MDLZ,XLP,4.24%
Target Corporation,TGT,XLP,3.51%
"Altria Group, Inc.",MO,XLP,3.32%
Colgate-Palmolive Company,CL,XLP,3.25%
Monster Beverage Corporation,MNST,XLP,1.96%
Kimberly-Clark Corporation,KMB,XLP,1.90%
"Constellation Brands, Inc. Class A",STZ,XLP,1.87%
Sysco Corporation,SYY,XLP,1.82%
"General Mills, Inc.",GIS,XLP,1.70%
Kroger Co.,KR,XLP,1.66%
Estee Lauder Companies Inc. Class A,EL,XLP,1.56%
Dollar General Corporation,DG,XLP,1.55%
"Kenvue, Inc.",KVUE,XLP,1.55%
"Dollar Tree, Inc.",DLTR,XLP,1.39%
Keurig Dr Pepper Inc.,KDP,XLP,1.36%
Hershey Company,HSY,XLP,1.31%
Archer-Daniels-Midland Company,ADM,XLP,1.31%
Kraft Heinz Company,KHC,XLP,1.24%
"Church & Dwight Co., Inc.",CHD,XLP,1.15%
Clorox Company,CLX,XLP,0.86%
"McCormick & Company, Incorporated",MKC,XLP,0.77%
"Tyson Foods, Inc. Class A",TSN,XLP,0.69%
"Walgreens Boots Alliance, Inc.",WBA,XLP,0.68%
"Lamb Weston Holdings, Inc.",LW,XLP,0.66%
Kellanova,K,XLP,0.64%
"Conagra Brands, Inc.",CAG,XLP,0.60%
Bunge Global SA,BG,XLP,0.60%
J.M. Smucker Company,SJM,XLP,0.57%
Molson Coors Beverage Company Class B,TAP,XLP,0.54%
Brown-Forman Corporation Class B,BF.B,XLP,0.45%
Hormel Foods Corporation,HRL,XLP,0.44%
Campbell Soup Company,CPB,XLP,0.37%
