Holding;Symbol;Weighting
NextEra Energy;NEE;12.68%
Southern Company;SO;8.04%
Duke Energy Corporation;DUK;7.82%
Constellation Energy Corporation;CEG;5.82%
Sempra;SRE;4.78%
American Electric Power Company;AEP;4.71%
Dominion Energy Inc;D;4.29%
Exelon Corporation;EXC;3.93%
PG&E Corporation;PCG;3.78%
Public Service Enterprise Group Inc;PEG;3.42%
Consolidated Edison;ED;3.33%
Xcel Energy Inc.;XEL;3.01%
Edison International;EIX;2.84%
WEC Energy Group Inc;WEC;2.75%
DTE Energy Company;DTE;2.49%
American Water Works Company;AWK;2.46%
Entergy Corporation;ETR;2.34%
Eversource Energy;ES;2.24%
PPL Corporation;PPL;2.14%
FirstEnergy Corp.;FE;2.1%
Ameren Corporation;AEE;2.05%
CenterPoint Energy;CNP;1.91%
CMS Energy Corporation;CMS;1.88%
Atmos Energy Corporation;ATO;1.84%
NRG Energy;NRG;1.47%
Alliant Energy Corp;LNT;1.35%
Evergy;EVRG;1.27%
NiSource Inc;NI;1.19%
AES Corporation;AES;1.16%
Pinnacle West Capital Corporation;PNW;0.87%
