Holding;Symbol;Weighting
Eli Lilly and Company;LLY;11.21%
UnitedHealth Group Incorporated;UNH;8.13%
Johnson & Johnson;JNJ;7.08%
AbbVie;ABBV;5.83%
Merck & Co.;MRK;5.77%
Thermo Fisher Scientific Inc.;TMO;4.26%
Abbott Laboratories;ABT;3.87%
Danaher Corporation;DHR;3.08%
Pfizer Inc.;PFE;2.84%
Amgen Inc.;AMGN;2.7%
Intuitive Surgical;ISRG;2.55%
Stryker Corporation;SYK;2.23%
Elevance Health;ELV;2.18%
Medtronic Plc;MDT;2.09%
Bristol-Myers Squibb Company;BMY;2.02%
Vertex Pharmaceuticals Incorporated;VRTX;1.97%
Regeneron Pharmaceuticals;REGN;1.91%
Cigna Group;CI;1.85%
Boston Scientific Corporation;BSX;1.83%
CVS Health Corporation;CVS;1.78%
Gilead Sciences;GILD;1.73%
Zoetis;ZTS;1.54%
McKesson Corporation;MCK;1.29%
Becton;BDX;1.28%
HCA Healthcare Inc;HCA;1.19%
Edwards Lifesciences Corporation;EW;1.03%
DexCom;DXCM;0.96%
IQVIA Holdings Inc;IQV;0.87%
IDEXX Laboratories;IDXX;0.86%
Agilent Technologies;A;0.8%
Centene Corporation;CNC;0.77%
Humana Inc.;HUM;0.77%
Cencora;COR;0.73%
GE Healthcare Technologies Inc.;GEHC;0.7%
Moderna;MRNA;0.63%
Biogen Inc.;BIIB;0.6%
Mettler-Toledo International Inc.;MTD;0.53%
Cardinal Health;CAH;0.52%
ResMed Inc.;RMD;0.51%
Zimmer Biomet Holdings;ZBH;0.49%
West Pharmaceutical Services;WST;0.49%
STERIS plc;STE;0.43%
Molina Healthcare;MOH;0.42%
Align Technology;ALGN;0.41%
Baxter International Inc.;BAX;0.41%
Illumina;ILMN;0.4%
Waters Corporation;WAT;0.39%
Cooper Companies;COO;0.37%
Hologic;HOLX;0.35%
Laboratory Corporation of America Holdings;LH;0.34%
Viatris;VTRS;0.27%
Quest Diagnostics Incorporated;DGX;0.26%
Revvity;RVTY;0.25%
Charles River Laboratories International;CRL;0.25%
Insulet Corporation;PODD;0.23%
Bio-Techne Corporation;TECH;0.22%
Incyte Corporation;INCY;0.21%
Universal Health Services;UHS;0.2%
Catalent Inc;CTLT;0.19%
Teleflex Incorporated;TFX;0.19%
Henry Schein;HSIC;0.18%
State Street Institutional Liquid Reserves Fund;SSIXX;0.16%
DaVita Inc.;DVA;0.13%
DENTSPLY SIRONA;XRAY;0.13%
Bio-Rad Laboratories;BIO;0.13%
