Holding,Symbol,Weighting,ETF,SPX
Amazon.com,AMZN,26.25%,XLY,1
Tesla,TSLA,12.52%,XLY,1
Home Depot,HD,4.83%,XLY,1
McDonald\'s Corporation,MCD,4.44%,XLY,1
Lowe\'s Companies,LOW,4.05%,XLY,1
Booking Holdings Inc.,BKNG,3.53%,XLY,1
NIKE,NKE,3.52%,XLY,1
TJX Companies Inc,TJX,3.19%,XLY,1
Starbucks Corporation,SBUX,3.02%,XLY,1
Chipotle Mexican Grill,CMG,2.14%,XLY,1
Airbnb,ABNB,2.08%,XLY,1
O\'Reilly Automotive,ORLY,1.86%,XLY,1
Marriott International,MAR,1.79%,XLY,1
AutoZone,AZO,1.58%,XLY,1
General Motors Company,GM,1.57%,XLY,1
lululemon athletica inc.,LULU,1.54%,XLY,1
Hilton Worldwide Holdings Inc,HLT,1.53%,XLY,1
Ross Stores,ROST,1.43%,XLY,1
Ford Motor Company,F,1.39%,XLY,1
D.R. Horton,DHI,1.34%,XLY,1
Lennar Corporation Class A,LEN,1.19%,XLY,1
Yum! Brands,YUM,1.14%,XLY,1
Royal Caribbean Group,RCL,0.87%,XLY,1
Tractor Supply Company,TSCO,0.79%,XLY,1
Ulta Beauty Inc.,ULTA,0.77%,XLY,1
eBay Inc.,EBAY,0.76%,XLY,1
NVR,NVR,0.71%,XLY,1
PulteGroup,PHM,0.71%,XLY,1
Aptiv PLC,APTV,0.64%,XLY,1
Garmin Ltd.,GRMN,0.63%,XLY,1
Genuine Parts Company,GPC,0.61%,XLY,1
Darden Restaurants,DRI,0.60%,XLY,1
Las Vegas Sands Corp.,LVS,0.55%,XLY,1
Expedia Group,EXPE,0.53%,XLY,1
Carnival Corporation,CCL,0.48%,XLY,1
Pool Corporation,POOL,0.47%,XLY,1
Domino\'s Pizza,DPZ,0.45%,XLY,1
Best Buy Co.,BBY,0.44%,XLY,1
LKQ Corporation,LKQ,0.40%,XLY,1
CarMax,KMX,0.38%,XLY,1
MGM Resorts International,MGM,0.34%,XLY,1
Tapestry,TPR,0.31%,XLY,1
Bath & Body Works,BBWI,0.30%,XLY,1
Wynn Resorts,WYNN,0.28%,XLY,1
Caesars Entertainment Inc,CZR,0.26%,XLY,1
Norwegian Cruise Line Holdings Ltd.,NCLH,0.25%,XLY,1
Etsy,ETSY,0.25%,XLY,1
BorgWarner Inc.,BWA,0.22%,XLY,1
Ralph Lauren Corporation Class A,RL,0.20%,XLY,1
Hasbro,HAS,0.20%,XLY,1
Mohawk Industries,MHK,0.19%,XLY,1
Whirlpool Corporation,WHR,0.17%,XLY,1
V.F. Corporation,VFC,0.15%,XLY,1
