Holding,Symbol,Weighting,ETF
United States Steel Corporation,X,5.31%,XME
ATI Inc.,ATI,5.02%,XME
Alcoa Corporation,AA,4.93%,XME
Reliance,RS,4.86%,XME
Cleveland-Cliffs Inc,CLF,4.78%,XME
Alpha Metallurgical Resources,AMR,4.65%,XME
Steel Dynamics,STLD,4.64%,XME
Commercial Metals Company,CMC,4.64%,XME
Nucor Corporation,NUE,4.61%,XME
Peabody Energy Corporation,BTU,4.46%,XME
Arch Resources,ARCH,4.35%,XME
Freeport-McMoRan,FCX,4.29%,XME
Carpenter Technology Corporation,CRS,4.11%,XME
Royal Gold,RGLD,3.93%,XME
Uranium Energy Corp.,UEC,3.90%,XME
Hecla Mining Company,HL,3.71%,XME
MP Materials Corp Class A,MP,3.70%,XME
Newmont Corporation,NEM,3.64%,XME
CONSOL Energy Inc,CEIX,3.39%,XME
Coeur Mining,CDE,2.64%,XME
Century Aluminum Company,CENX,1.96%,XME
Materion Corporation,MTRN,1.66%,XME
Ryerson Holding Corporation,RYI,1.52%,XME
Compass Minerals International,CMP,1.42%,XME
Kaiser Aluminum Corporation,KALU,1.30%,XME
SunCoke Energy,SXC,1.25%,XME
Piedmont Lithium Inc,PLL,1.01%,XME
Worthington Steel,WS,0.97%,XME
Metallus Inc.,MTUS,0.82%,XME
Ramaco Resources,METC,0.82%,XME
Olympic Steel,ZEUS,0.71%,XME
Radius Recycling,RDUS,0.54%,XME
Haynes International,HAYN,0.40%,XME
